"V1","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"""#"""," GMT-04:00""","""Low Range"," μS/cm (LGR S/N: 10395024"," SEN S/N: 10395024)""","""Full Range"," μS/cm (LGR S/N: 10395024"," SEN S/N: 10395024)""","""Temp"," °C (LGR S/N: 10395024"," SEN S/N: 10395024)""","""Coupler Detached (LGR S/N: 10395024)""","""End Of File (LGR S/N: 10395024)"""
"1","3.7","17.5","24.07","Logged","","","","","","","",""
"2","8.3","6.1","24.05","","","","","","","","",""
"3","3.7","17.5","24.05","","","","","","","","",""
"4","8.3","6.1","24.05","","","","","","","","",""
"5","3.7","6.1","24.04","","","","","","","","",""
"6","3.6","6.1","24.04","","","","","","","","",""
"7","6.4","6.1","24.03","","","","","","","","",""
"8","8.3","6.1","24.03","","","","","","","","",""
"9","3.7","6.1","24.01","","","","","","","","",""
"10","3.6","6.1","24.00","","","","","","","","",""
"11","3.7","6.1","24.00","","","","","","","","",""
"12","3.7","6.1","23.99","","","","","","","","",""
"13","3.7","6.1","23.97","","","","","","","","",""
"14","3.7","6.1","23.97","","","","","","","","",""
"15","6.4","6.1","23.96","","","","","","","","",""
"16","3.7","17.5","23.96","","","","","","","","",""
"17","6.4","6.1","23.95","","","","","","","","",""
"18","3.7","6.1","23.95","","","","","","","","",""
"19","6.4","6.1","23.93","","","","","","","","",""
"20","3.7","6.1","23.92","","","","","","","","",""
"21","3.6","6.1","23.91","","","","","","","","",""
"22","8.3","17.5","23.91","","","","","","","","",""
"23","3.7","17.5","23.89","","","","","","","","",""
"24","3.6","6.1","23.88","","","","","","","","",""
"25","3.6","6.1","23.87","","","","","","","","",""
"26","3.6","6.1","23.85","","","","","","","","",""
"27","3.6","6.1","23.85","","","","","","","","",""
"28","3.7","6.1","23.84","","","","","","","","",""
"29","3.6","6.1","23.83","","","","","","","","",""
"30","3.7","17.5","23.83","","","","","","","","",""
"31","3.6","6.1","23.81","","","","","","","","",""
"32","3.6","17.5","23.80","","","","","","","","",""
"33","6.4","6.1","23.80","","","","","","","","",""
"34","3.7","6.1","23.79","","","","","","","","",""
"35","6.4","6.1","23.77","","","","","","","","",""
"36","8.3","17.5","23.76","","","","","","","","",""
"37","3.6","6.1","23.76","","","","","","","","",""
"38","8.3","6.1","23.76","","","","","","","","",""
"39","3.6","6.1","23.75","","","","","","","","",""
"40","3.7","6.1","23.73","","","","","","","","",""
