"Plot Title: mgas_station_3"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 10710797, SEN S/N: 10710797)","Full Range, μS/cm (LGR S/N: 10710797, SEN S/N: 10710797)","Temp, °C (LGR S/N: 10710797, SEN S/N: 10710797)","End Of File (LGR S/N: 10710797)"
1,05/25/23 12:00:00 PM,4.7,7.1,24.57,
2,05/25/23 12:00:05 PM,3.1,7.1,24.57,
3,05/25/23 12:00:10 PM,2.9,7.1,24.57,
4,05/25/23 12:00:15 PM,2.9,7.1,24.56,
5,05/25/23 12:00:20 PM,2.8,7.1,24.56,
6,05/25/23 12:00:25 PM,4.4,7.1,24.56,
7,05/25/23 12:00:30 PM,4.4,7.1,24.55,
8,05/25/23 12:00:35 PM,3.1,7.1,24.55,
9,05/25/23 12:00:40 PM,4.4,7.1,24.55,
10,05/25/23 12:00:45 PM,4.4,7.1,24.52,
11,05/25/23 12:00:50 PM,4.4,3.6,24.51,
12,05/25/23 12:00:55 PM,2.9,7.1,24.49,
13,05/25/23 12:01:00 PM,4.4,7.1,24.49,
14,05/25/23 12:01:05 PM,4.4,7.1,24.48,
15,05/25/23 12:01:10 PM,2.9,7.1,24.48,
16,05/25/23 12:01:15 PM,4.7,7.1,24.47,
17,05/25/23 12:01:20 PM,4.4,7.1,24.46,
18,05/25/23 12:01:25 PM,2.9,7.1,24.46,
19,05/25/23 12:01:30 PM,3.1,7.1,24.44,
20,05/25/23 12:01:35 PM,2.9,7.1,24.44,
21,05/25/23 12:01:40 PM,3.1,7.1,24.43,
22,05/25/23 12:01:45 PM,2.9,7.1,24.42,
23,05/25/23 12:01:50 PM,4.4,7.1,24.40,
24,05/25/23 12:01:55 PM,3.1,7.1,24.39,
25,05/25/23 12:02:00 PM,4.4,7.1,24.39,
26,05/25/23 12:02:05 PM,4.4,7.1,24.38,
27,05/25/23 12:02:10 PM,4.4,7.1,24.36,
28,05/25/23 12:02:15 PM,4.4,7.1,24.36,
29,05/25/23 12:02:20 PM,4.4,3.6,24.35,
30,05/25/23 12:02:25 PM,3.1,7.1,24.35,
31,05/25/23 12:02:30 PM,3.1,7.1,24.34,
32,05/25/23 12:02:35 PM,4.7,3.6,24.34,
33,05/25/23 12:02:40 PM,4.4,3.6,24.32,
34,05/25/23 12:02:45 PM,2.9,3.3,24.31,
35,05/25/23 12:02:50 PM,4.4,7.1,24.31,
36,05/25/23 12:02:55 PM,4.4,4.8,24.30,
37,05/25/23 12:03:00 PM,4.7,7.1,24.30,
38,05/25/23 12:03:05 PM,4.7,3.6,24.28,
39,05/25/23 12:03:10 PM,4.7,3.6,24.28,
40,05/25/23 12:03:15 PM,3.1,7.1,24.27,
41,05/25/23 12:03:20 PM,2.9,7.1,24.27,
42,05/25/23 12:03:25 PM,3.1,7.1,24.26,
43,05/25/23 12:03:30 PM,2.9,7.1,24.26,
44,05/25/23 12:03:35 PM,2.9,7.1,24.25,
45,05/25/23 12:03:40 PM,4.4,7.1,24.25,
46,05/25/23 12:03:45 PM,3.1,7.1,24.22,
47,05/25/23 12:03:50 PM,2.9,3.6,24.19,
48,05/25/23 12:03:55 PM,4.7,3.6,24.21,
49,05/25/23 12:04:00 PM,4.7,3.6,24.21,
50,05/25/23 12:04:05 PM,2.9,3.6,24.19,
51,05/25/23 12:04:10 PM,32.1,7.1,24.25,
52,05/25/23 12:04:15 PM,32.1,7.1,24.25,
53,05/25/23 12:04:20 PM,4.7,7.1,24.23,
54,05/25/23 12:04:25 PM,12.9,7.1,24.28,
55,05/25/23 12:04:30 PM,32.1,7.1,24.27,
56,05/25/23 12:04:35 PM,32.1,24.9,24.28,
57,05/25/23 12:04:40 PM,7.1,24.9,24.28,
58,05/25/23 12:04:45 PM,7.1,24.9,24.30,
59,05/25/23 12:04:50 PM,2.8,24.9,24.31,
60,05/25/23 12:04:55 PM,7.1,3.6,24.30,
61,05/25/23 12:05:00 PM,10.7,7.1,24.25,
62,05/25/23 12:05:05 PM,4.7,7.1,24.26,
63,05/25/23 12:05:10 PM,32.1,24.9,24.26,
64,05/25/23 12:05:15 PM,32.1,7.1,24.27,
65,05/25/23 12:05:20 PM,32.1,7.1,24.28,
66,05/25/23 12:05:25 PM,32.1,7.1,24.31,
67,05/25/23 12:05:30 PM,7.1,7.1,24.32,
68,05/25/23 12:05:35 PM,4.2,7.1,24.32,
69,05/25/23 12:05:40 PM,7.1,7.1,24.31,
70,05/25/23 12:05:45 PM,2.8,24.9,24.38,
71,05/25/23 12:05:50 PM,3.6,4.0,24.52,
72,05/25/23 12:05:55 PM,4.5,4.8,24.52,
73,05/25/23 12:06:00 PM,4.5,4.8,24.52,
74,05/25/23 12:06:05 PM,3.9,4.0,24.49,
75,05/25/23 12:06:10 PM,3.2,3.6,24.47,
76,05/25/23 12:06:15 PM,2.6,3.6,24.44,
77,05/25/23 12:06:20 PM,2.3,24.9,24.44,
78,05/25/23 12:06:25 PM,2.8,24.9,24.44,
79,05/25/23 12:06:30 PM,4.2,7.1,24.44,
80,05/25/23 12:06:35 PM,7.1,7.1,24.46,
81,05/25/23 12:06:40 PM,7.1,7.1,24.46,
82,05/25/23 12:06:45 PM,4.2,7.1,24.48,
83,05/25/23 12:06:50 PM,7.1,7.1,24.48,
84,05/25/23 12:06:55 PM,10.7,24.9,24.48,
85,05/25/23 12:07:00 PM,7.1,7.1,24.48,
86,05/25/23 12:07:05 PM,3.2,7.1,24.51,
87,05/25/23 12:07:10 PM,2.3,24.9,24.55,
88,05/25/23 12:07:15 PM,2.3,4.0,24.59,
89,05/25/23 12:07:20 PM,2.4,4.0,24.59,
90,05/25/23 12:07:25 PM,2.3,5.2,24.60,
91,05/25/23 12:07:30 PM,2.8,24.9,24.53,
92,05/25/23 12:07:35 PM,32.1,24.9,24.52,
93,05/25/23 12:07:40 PM,7.1,7.1,24.56,
94,05/25/23 12:07:45 PM,32.1,7.1,24.48,
95,05/25/23 12:07:50 PM,10.7,7.1,24.43,
96,05/25/23 12:07:55 PM,32.1,7.1,24.48,
97,05/25/23 12:08:00 PM,32.1,7.1,24.51,
98,05/25/23 12:08:05 PM,32.1,7.1,24.38,
99,05/25/23 12:08:10 PM,32.1,7.1,24.36,
100,05/25/23 12:08:15 PM,4.7,7.1,24.32,
101,05/25/23 12:08:20 PM,4.7,7.1,24.30,
102,05/25/23 12:08:25 PM,4.7,3.6,24.28,
103,05/25/23 12:08:30 PM,4.7,7.1,24.28,
104,05/25/23 12:08:35 PM,32.1,7.1,24.34,
105,05/25/23 12:08:40 PM,4.4,7.1,24.35,
106,05/25/23 12:08:45 PM,4.4,7.1,24.30,
