"Plot Title: mgas_station_2"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 10559459, SEN S/N: 10559459)","Full Range, μS/cm (LGR S/N: 10559459, SEN S/N: 10559459)","Temp, °C (LGR S/N: 10559459, SEN S/N: 10559459)","End Of File (LGR S/N: 10559459)"
1,05/25/23 12:00:00 PM,4.7,3.9,13.98,
2,05/25/23 12:00:05 PM,2.9,7.6,13.98,
3,05/25/23 12:00:10 PM,3.0,7.6,13.98,
4,05/25/23 12:00:15 PM,3.0,7.6,13.97,
5,05/25/23 12:00:20 PM,3.0,3.9,13.96,
6,05/25/23 12:00:25 PM,2.9,7.6,13.96,
7,05/25/23 12:00:30 PM,4.4,7.6,13.94,
8,05/25/23 12:00:35 PM,3.0,7.6,13.93,
9,05/25/23 12:00:40 PM,3.0,7.6,13.93,
10,05/25/23 12:00:45 PM,2.9,7.6,13.92,
11,05/25/23 12:00:50 PM,3.0,7.6,13.92,
12,05/25/23 12:00:55 PM,3.0,7.6,13.89,
13,05/25/23 12:01:00 PM,3.0,3.9,13.88,
14,05/25/23 12:01:05 PM,3.0,7.6,13.88,
15,05/25/23 12:01:10 PM,3.0,7.6,13.87,
16,05/25/23 12:01:15 PM,4.4,7.6,13.87,
17,05/25/23 12:01:20 PM,3.0,7.6,13.85,
18,05/25/23 12:01:25 PM,4.4,7.6,13.84,
19,05/25/23 12:01:30 PM,3.0,7.6,13.81,
20,05/25/23 12:01:35 PM,4.4,7.6,13.80,
21,05/25/23 12:01:40 PM,2.9,7.6,13.79,
22,05/25/23 12:01:45 PM,4.4,7.6,13.76,
23,05/25/23 12:01:50 PM,3.0,7.6,13.75,
24,05/25/23 12:01:55 PM,3.1,7.6,13.73,
25,05/25/23 12:02:00 PM,3.0,7.6,13.72,
26,05/25/23 12:02:05 PM,3.0,7.6,13.71,
27,05/25/23 12:02:10 PM,3.0,7.6,13.69,
28,05/25/23 12:02:15 PM,4.4,7.6,13.68,
29,05/25/23 12:02:20 PM,3.0,5.0,13.67,
30,05/25/23 12:02:25 PM,2.9,7.6,13.66,
31,05/25/23 12:02:30 PM,4.4,7.6,13.64,
32,05/25/23 12:02:35 PM,3.0,7.6,13.63,
33,05/25/23 12:02:40 PM,3.0,5.0,13.62,
34,05/25/23 12:02:45 PM,3.0,7.6,13.60,
35,05/25/23 12:02:50 PM,3.0,3.9,13.59,
36,05/25/23 12:02:55 PM,4.4,7.6,13.58,
37,05/25/23 12:03:00 PM,3.0,7.6,13.56,
38,05/25/23 12:03:05 PM,3.0,5.0,13.55,
39,05/25/23 12:03:10 PM,3.0,7.6,13.54,
40,05/25/23 12:03:15 PM,3.0,7.6,13.52,
