"Plot Title: NHC-DO"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 10402891, SEN S/N: 10402891)","Temp, °C (LGR S/N: 10402891, SEN S/N: 10402891)","Coupler Attached (LGR S/N: 10402891)","Host Connected (LGR S/N: 10402891)","Stopped (LGR S/N: 10402891)","End Of File (LGR S/N: 10402891)"
1,03/06/23 11:30:00 AM,11.10,12.80,,,,
2,03/06/23 11:45:00 AM,11.49,11.96,,,,
3,03/06/23 12:00:00 PM,11.48,12.02,,,,
4,03/06/23 12:15:00 PM,11.48,12.14,,,,
5,03/06/23 12:30:00 PM,11.50,12.28,,,,
6,03/06/23 12:45:00 PM,11.56,12.48,,,,
7,03/06/23 01:00:00 PM,11.63,12.70,,,,
8,03/06/23 01:15:00 PM,11.68,12.92,,,,
9,03/06/23 01:30:00 PM,11.75,13.18,,,,
10,03/06/23 01:45:00 PM,11.77,13.42,,,,
11,03/06/23 02:00:00 PM,11.79,13.64,,,,
12,03/06/23 02:15:00 PM,11.79,13.84,,,,
13,03/06/23 02:30:00 PM,11.76,13.98,,,,
14,03/06/23 02:45:00 PM,11.73,14.12,,,,
15,03/06/23 03:00:00 PM,11.71,14.26,,,,
16,03/06/23 03:15:00 PM,11.64,14.34,,,,
17,03/06/23 03:30:00 PM,11.58,14.40,,,,
18,03/06/23 03:45:00 PM,11.50,14.44,,,,
19,03/06/23 04:00:00 PM,11.44,14.46,,,,
20,03/06/23 04:15:00 PM,11.36,14.50,,,,
21,03/06/23 04:30:00 PM,11.31,14.52,,,,
22,03/06/23 04:45:00 PM,11.23,14.52,,,,
23,03/06/23 05:00:00 PM,11.18,14.52,,,,
24,03/06/23 05:15:00 PM,11.09,14.52,,,,
25,03/06/23 05:30:00 PM,11.02,14.50,,,,
26,03/06/23 05:45:00 PM,10.92,14.46,,,,
27,03/06/23 06:00:00 PM,10.81,14.42,,,,
28,03/06/23 06:15:00 PM,10.73,14.40,,,,
29,03/06/23 06:30:00 PM,10.63,14.36,,,,
30,03/06/23 06:45:00 PM,10.51,14.32,,,,
31,03/06/23 07:00:00 PM,10.42,14.28,,,,
32,03/06/23 07:15:00 PM,10.33,14.26,,,,
33,03/06/23 07:30:00 PM,10.25,14.22,,,,
34,03/06/23 07:45:00 PM,10.19,14.20,,,,
35,03/06/23 08:00:00 PM,10.11,14.16,,,,
36,03/06/23 08:15:00 PM,10.06,14.14,,,,
37,03/06/23 08:30:00 PM,10.03,14.12,,,,
38,03/06/23 08:45:00 PM,9.98,14.08,,,,
39,03/06/23 09:00:00 PM,9.94,14.06,,,,
40,03/06/23 09:15:00 PM,9.92,14.02,,,,
41,03/06/23 09:30:00 PM,9.90,13.98,,,,
42,03/06/23 09:45:00 PM,9.88,13.94,,,,
43,03/06/23 10:00:00 PM,9.85,13.90,,,,
44,03/06/23 10:15:00 PM,9.83,13.84,,,,
45,03/06/23 10:30:00 PM,9.82,13.80,,,,
46,03/06/23 10:45:00 PM,9.83,13.74,,,,
