"Plot Title: mgas_nhc_poolDown_DO"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 10808939, SEN S/N: 10808939)","Temp, °C (LGR S/N: 10808939, SEN S/N: 10808939)","Coupler Attached (LGR S/N: 10808939)","Coupler Detached (LGR S/N: 10808939)","Host Connected (LGR S/N: 10808939)","Stopped (LGR S/N: 10808939)","End Of File (LGR S/N: 10808939)"
1,06/14/23 02:00:00 PM,9.96,23.80,,,,,
2,06/14/23 02:15:00 PM,9.95,23.84,,,,,
3,06/14/23 02:30:00 PM,9.90,23.94,,,,,
4,06/14/23 02:45:00 PM,9.90,23.94,,,,,
5,06/14/23 03:00:00 PM,9.86,23.94,,,,,
6,06/14/23 03:15:00 PM,9.84,24.02,,,,,
7,06/14/23 03:30:00 PM,9.83,24.18,,,,,
8,06/14/23 03:45:00 PM,9.79,24.36,,,,,
9,06/14/23 04:00:00 PM,9.76,24.50,,,,,
10,06/14/23 04:15:00 PM,9.72,24.56,,,,,
11,06/14/23 04:30:00 PM,9.68,24.60,,,,,
12,06/14/23 04:45:00 PM,9.59,24.58,,,,,
13,06/14/23 05:00:00 PM,9.56,24.58,,,,,
14,06/14/23 05:15:00 PM,9.48,24.58,,,,,
15,06/14/23 05:30:00 PM,9.43,24.64,,,,,
16,06/14/23 05:45:00 PM,9.36,24.64,,,,,
17,06/14/23 06:00:00 PM,9.24,24.56,,,,,
18,06/14/23 06:15:00 PM,9.09,24.44,,,,,
19,06/14/23 06:30:00 PM,8.95,24.28,,,,,
20,06/14/23 06:45:00 PM,8.79,24.16,,,,,
21,06/14/23 07:00:00 PM,8.64,24.04,,,,,
22,06/14/23 07:15:00 PM,8.51,23.92,,,,,
23,06/14/23 07:30:00 PM,8.38,23.78,,,,,
24,06/14/23 07:45:00 PM,8.26,23.66,,,,,
25,06/14/23 08:00:00 PM,8.17,23.54,,,,,
26,06/14/23 08:15:00 PM,8.06,23.38,,,,,
27,06/14/23 08:30:00 PM,7.97,23.24,,,,,
28,06/14/23 08:45:00 PM,7.88,23.10,,,,,
29,06/14/23 09:00:00 PM,7.80,22.96,,,,,
30,06/14/23 09:15:00 PM,7.74,22.82,,,,,
31,06/14/23 09:30:00 PM,7.68,22.70,,,,,
32,06/14/23 09:45:00 PM,7.62,22.58,,,,,
33,06/14/23 10:00:00 PM,7.60,22.46,,,,,
34,06/14/23 10:15:00 PM,7.56,22.36,,,,,
35,06/14/23 10:30:00 PM,7.53,22.24,,,,,
36,06/14/23 10:45:00 PM,7.50,22.14,,,,,
37,06/14/23 11:00:00 PM,7.47,22.04,,,,,
38,06/14/23 11:15:00 PM,7.47,21.94,,,,,
39,06/14/23 11:30:00 PM,7.46,21.86,,,,,
40,06/14/23 11:45:00 PM,7.46,21.78,,,,,
41,06/15/23 12:00:00 AM,7.45,21.70,,,,,
42,06/15/23 12:15:00 AM,7.44,21.64,,,,,
43,06/15/23 12:30:00 AM,7.45,21.56,,,,,
44,06/15/23 12:45:00 AM,7.45,21.50,,,,,
45,06/15/23 01:00:00 AM,7.44,21.44,,,,,
46,06/15/23 01:15:00 AM,7.46,21.38,,,,,
47,06/15/23 01:30:00 AM,7.45,21.34,,,,,
48,06/15/23 01:45:00 AM,7.47,21.30,,,,,
49,06/15/23 02:00:00 AM,7.47,21.24,,,,,
50,06/15/23 02:15:00 AM,7.47,21.18,,,,,
51,06/15/23 02:30:00 AM,7.48,21.14,,,,,
52,06/15/23 02:45:00 AM,7.46,21.08,,,,,
53,06/15/23 03:00:00 AM,7.47,21.02,,,,,
54,06/15/23 03:15:00 AM,7.46,20.98,,,,,
55,06/15/23 03:30:00 AM,7.46,20.92,,,,,
56,06/15/23 03:45:00 AM,7.48,20.86,,,,,
57,06/15/23 04:00:00 AM,7.48,20.80,,,,,
58,06/15/23 04:15:00 AM,7.48,20.74,,,,,
59,06/15/23 04:30:00 AM,7.47,20.68,,,,,
60,06/15/23 04:45:00 AM,7.49,20.62,,,,,
61,06/15/23 05:00:00 AM,7.49,20.56,,,,,
62,06/15/23 05:15:00 AM,7.49,20.50,,,,,
63,06/15/23 05:30:00 AM,7.50,20.46,,,,,
64,06/15/23 05:45:00 AM,7.50,20.40,,,,,
65,06/15/23 06:00:00 AM,7.52,20.34,,,,,
66,06/15/23 06:15:00 AM,7.53,20.28,,,,,
67,06/15/23 06:30:00 AM,7.52,20.22,,,,,
68,06/15/23 06:45:00 AM,7.54,20.16,,,,,
69,06/15/23 07:00:00 AM,7.57,20.12,,,,,
70,06/15/23 07:15:00 AM,7.60,20.08,,,,,
71,06/15/23 07:30:00 AM,7.62,20.04,,,,,
72,06/15/23 07:45:00 AM,7.66,20.02,,,,,
73,06/15/23 08:00:00 AM,7.71,20.02,,,,,
74,06/15/23 08:15:00 AM,7.79,20.02,,,,,
75,06/15/23 08:30:00 AM,7.85,20.04,,,,,
76,06/15/23 08:45:00 AM,7.94,20.06,,,,,
77,06/15/23 09:00:00 AM,8.07,20.12,,,,,
78,06/15/23 09:15:00 AM,8.19,20.16,,,,,
79,06/15/23 09:30:00 AM,8.25,20.22,,,,,
80,06/15/23 09:45:00 AM,8.36,20.30,,,,,
81,06/15/23 10:00:00 AM,8.50,20.38,,,,,
82,06/15/23 10:15:00 AM,8.60,20.48,,,,,
83,06/15/23 10:30:00 AM,8.74,20.60,,,,,
84,06/15/23 10:45:00 AM,8.95,20.80,,,,,
85,06/15/23 11:00:00 AM,9.12,21.04,,,,,
86,06/15/23 11:15:00 AM,9.23,21.24,,,,,
87,06/15/23 11:30:00 AM,9.31,21.36,,,,,
88,06/15/23 11:45:00 AM,9.39,21.50,,,,,
89,06/15/23 12:00:00 PM,9.59,21.76,,,,,
90,06/15/23 12:15:00 PM,9.72,22.08,,,,,
91,06/15/23 12:30:00 PM,9.80,22.34,,,,,
92,06/15/23 12:45:00 PM,9.90,22.62,,,,,
93,06/15/23 01:00:00 PM,10.00,22.82,,,,,
