"Plot Title: mgas_nhc_poolDown_cond"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 10423230, SEN S/N: 10423230)","Full Range, μS/cm (LGR S/N: 10423230, SEN S/N: 10423230)","Temp, °C (LGR S/N: 10423230, SEN S/N: 10423230)","Coupler Detached (LGR S/N: 10423230)","Coupler Attached (LGR S/N: 10423230)","Host Connected (LGR S/N: 10423230)","Stopped (LGR S/N: 10423230)","End Of File (LGR S/N: 10423230)"
1,06/21/23 12:00:00 PM,108.5,105.9,21.39,Logged,,,,
2,06/21/23 12:15:00 PM,108.4,105.6,21.39,,,,,
3,06/21/23 12:30:00 PM,108.3,105.2,21.41,,,,,
4,06/21/23 12:45:00 PM,108.3,105.6,21.42,,,,,
5,06/21/23 01:00:00 PM,108.3,105.6,21.42,,,,,
6,06/21/23 01:15:00 PM,108.3,104.8,21.43,,,,,
7,06/21/23 01:30:00 PM,108.3,105.6,21.41,,,,,
8,06/21/23 01:45:00 PM,108.3,105.6,21.41,,,,,
9,06/21/23 02:00:00 PM,108.4,105.6,21.41,,,,,
10,06/21/23 02:15:00 PM,108.5,105.6,21.42,,,,,
11,06/21/23 02:30:00 PM,108.7,105.9,21.45,,,,,
12,06/21/23 02:45:00 PM,108.8,106.3,21.43,,,,,
13,06/21/23 03:00:00 PM,109.0,106.3,21.43,,,,,
14,06/21/23 03:15:00 PM,109.3,106.7,21.42,,,,,
15,06/21/23 03:30:00 PM,109.4,106.7,21.45,,,,,
16,06/21/23 03:45:00 PM,109.7,106.7,21.45,,,,,
17,06/21/23 04:00:00 PM,109.9,107.0,21.43,,,,,
18,06/21/23 04:15:00 PM,110.1,107.4,21.43,,,,,
19,06/21/23 04:30:00 PM,110.3,107.4,21.41,,,,,
20,06/21/23 04:45:00 PM,110.6,107.7,21.42,,,,,
21,06/21/23 05:00:00 PM,110.8,108.1,21.43,,,,,
22,06/21/23 05:15:00 PM,111.0,108.1,21.45,,,,,
23,06/21/23 05:30:00 PM,111.2,108.5,21.45,,,,,
24,06/21/23 05:45:00 PM,111.3,108.8,21.43,,,,,
25,06/21/23 06:00:00 PM,111.5,108.8,21.43,,,,,
26,06/21/23 06:15:00 PM,111.6,108.5,21.42,,,,,
27,06/21/23 06:30:00 PM,111.7,108.8,21.41,,,,,
28,06/21/23 06:45:00 PM,111.9,108.8,21.39,,,,,
29,06/21/23 07:00:00 PM,111.9,109.2,21.38,,,,,
30,06/21/23 07:15:00 PM,112.0,109.2,21.35,,,,,
31,06/21/23 07:30:00 PM,112.2,109.2,21.34,,,,,
32,06/21/23 07:45:00 PM,112.2,109.2,21.32,,,,,
33,06/21/23 08:00:00 PM,112.2,109.9,21.30,,,,,
34,06/21/23 08:15:00 PM,112.2,109.6,21.28,,,,,
35,06/21/23 08:30:00 PM,112.3,109.6,21.27,,,,,
36,06/21/23 08:45:00 PM,112.4,109.9,21.24,,,,,
37,06/21/23 09:00:00 PM,112.4,109.6,21.23,,,,,
38,06/21/23 09:15:00 PM,112.4,109.2,21.20,,,,,
39,06/21/23 09:30:00 PM,112.5,109.6,21.18,,,,,
40,06/21/23 09:45:00 PM,112.5,109.6,21.15,,,,,
41,06/21/23 10:00:00 PM,112.3,109.6,21.13,,,,,
42,06/21/23 10:15:00 PM,112.4,110.0,21.12,,,,,
43,06/21/23 10:30:00 PM,112.5,110.0,21.11,,,,,
44,06/21/23 10:45:00 PM,112.5,109.6,21.09,,,,,
45,06/21/23 11:00:00 PM,112.4,109.6,21.08,,,,,
46,06/21/23 11:15:00 PM,112.4,109.6,21.07,,,,,
47,06/21/23 11:30:00 PM,112.3,109.2,21.04,,,,,
48,06/21/23 11:45:00 PM,112.4,109.6,21.03,,,,,
49,06/22/23 12:00:00 AM,112.3,109.6,21.00,,,,,
50,06/22/23 12:15:00 AM,112.3,109.2,20.99,,,,,
51,06/22/23 12:30:00 AM,112.3,109.6,20.96,,,,,
52,06/22/23 12:45:00 AM,112.3,109.6,20.93,,,,,
53,06/22/23 01:00:00 AM,112.3,109.6,20.93,,,,,
54,06/22/23 01:15:00 AM,112.2,109.3,20.90,,,,,
55,06/22/23 01:30:00 AM,112.3,109.6,20.90,,,,,
56,06/22/23 01:45:00 AM,112.3,109.3,20.88,,,,,
57,06/22/23 02:00:00 AM,112.1,109.3,20.86,,,,,
58,06/22/23 02:15:00 AM,112.2,109.3,20.84,,,,,
59,06/22/23 02:30:00 AM,112.1,109.3,20.82,,,,,
60,06/22/23 02:45:00 AM,112.1,109.3,20.79,,,,,
61,06/22/23 03:00:00 AM,112.0,109.3,20.78,,,,,
62,06/22/23 03:15:00 AM,112.0,109.3,20.75,,,,,
63,06/22/23 03:30:00 AM,112.0,109.3,20.74,,,,,
64,06/22/23 03:45:00 AM,112.0,108.9,20.74,,,,,
65,06/22/23 04:00:00 AM,112.0,108.9,20.71,,,,,
66,06/22/23 04:15:00 AM,112.0,108.9,20.70,,,,,
67,06/22/23 04:30:00 AM,112.0,108.9,20.70,,,,,
