"Plot Title: mgas_cb_poolDown_wl_2023-06-21"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 10906727, SEN S/N: 10906727)","Temp, °C (LGR S/N: 10906727, SEN S/N: 10906727)","Coupler Detached (LGR S/N: 10906727)","Coupler Attached (LGR S/N: 10906727)","Host Connected (LGR S/N: 10906727)","Stopped (LGR S/N: 10906727)","End Of File (LGR S/N: 10906727)"
1,06/21/23 11:49:30 AM,100.417,24.351,Logged,,,,
2,06/21/23 11:50:00 AM,100.411,24.448,,,,,
3,06/21/23 11:50:30 AM,100.418,24.641,,,,,
4,06/21/23 11:51:00 AM,100.401,24.738,,,,,
5,06/21/23 11:51:30 AM,100.411,24.738,,,,,
6,06/21/23 11:52:00 AM,100.422,24.738,,,,,
7,06/21/23 11:52:30 AM,100.408,24.641,,,,,
8,06/21/23 11:53:00 AM,100.418,24.641,,,,,
9,06/21/23 11:53:30 AM,100.404,24.545,,,,,
10,06/21/23 11:54:00 AM,100.394,24.545,,,,,
11,06/21/23 11:54:30 AM,102.152,24.448,,,,,
12,06/21/23 11:55:00 AM,102.244,24.158,,,,,
13,06/21/23 11:55:30 AM,102.213,23.869,,,,,
14,06/21/23 11:56:00 AM,102.219,23.484,,,,,
15,06/21/23 11:56:30 AM,102.242,23.292,,,,,
16,06/21/23 11:57:00 AM,102.221,23.004,,,,,
17,06/21/23 11:57:30 AM,102.241,22.717,,,,,
18,06/21/23 11:58:00 AM,102.234,22.525,,,,,
19,06/21/23 11:58:30 AM,102.226,22.333,,,,,
20,06/21/23 11:59:00 AM,102.253,22.238,,,,,
21,06/21/23 11:59:30 AM,102.236,22.046,,,,,
22,06/21/23 12:00:00 PM,102.232,21.951,,,,,
23,06/21/23 12:00:30 PM,102.260,21.855,,,,,
24,06/21/23 12:01:00 PM,102.256,21.760,,,,,
25,06/21/23 12:01:30 PM,102.242,21.664,,,,,
26,06/21/23 12:02:00 PM,102.239,21.569,,,,,
27,06/21/23 12:02:30 PM,102.225,21.473,,,,,
28,06/21/23 12:03:00 PM,102.252,21.378,,,,,
29,06/21/23 12:03:30 PM,102.242,21.378,,,,,
30,06/21/23 12:04:00 PM,102.238,21.282,,,,,
31,06/21/23 12:04:30 PM,102.238,21.282,,,,,
32,06/21/23 12:05:00 PM,102.234,21.187,,,,,
33,06/21/23 12:05:30 PM,102.255,21.187,,,,,
34,06/21/23 12:06:00 PM,102.231,21.091,,,,,
35,06/21/23 12:06:30 PM,102.231,21.091,,,,,
36,06/21/23 12:07:00 PM,102.221,21.091,,,,,
37,06/21/23 12:07:30 PM,102.221,21.091,,,,,
38,06/21/23 12:08:00 PM,102.217,20.996,,,,,
39,06/21/23 12:08:30 PM,102.227,20.996,,,,,
40,06/21/23 12:09:00 PM,102.217,20.996,,,,,
41,06/21/23 12:09:30 PM,102.237,20.996,,,,,
42,06/21/23 12:10:00 PM,102.227,20.996,,,,,
43,06/21/23 12:10:30 PM,102.213,20.901,,,,,
44,06/21/23 12:11:00 PM,102.224,20.901,,,,,
