"Plot Title: mgas_nhc_cb_poolUp_DO"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 10904742, SEN S/N: 10904742)","Temp, °C (LGR S/N: 10904742, SEN S/N: 10904742)","Coupler Attached (LGR S/N: 10904742)","Host Connected (LGR S/N: 10904742)","Stopped (LGR S/N: 10904742)","End Of File (LGR S/N: 10904742)"
1,06/14/23 02:00:00 PM,9.23,23.34,,,,
2,06/14/23 02:15:00 PM,9.22,23.40,,,,
3,06/14/23 02:30:00 PM,9.23,23.48,,,,
4,06/14/23 02:45:00 PM,9.19,23.52,,,,
5,06/14/23 03:00:00 PM,9.19,23.56,,,,
6,06/14/23 03:15:00 PM,9.15,23.64,,,,
7,06/14/23 03:30:00 PM,9.04,23.70,,,,
8,06/14/23 03:45:00 PM,9.09,23.86,,,,
9,06/14/23 04:00:00 PM,9.04,23.96,,,,
10,06/14/23 04:15:00 PM,8.99,24.12,,,,
11,06/14/23 04:30:00 PM,8.97,24.12,,,,
12,06/14/23 04:45:00 PM,8.94,24.14,,,,
13,06/14/23 05:00:00 PM,8.79,24.16,,,,
14,06/14/23 05:15:00 PM,8.74,24.10,,,,
15,06/14/23 05:30:00 PM,8.54,24.08,,,,
16,06/14/23 05:45:00 PM,8.62,24.02,,,,
17,06/14/23 06:00:00 PM,8.41,23.96,,,,
18,06/14/23 06:15:00 PM,8.23,23.86,,,,
19,06/14/23 06:30:00 PM,8.38,23.78,,,,
20,06/14/23 06:45:00 PM,8.16,23.68,,,,
21,06/14/23 07:00:00 PM,8.16,23.54,,,,
22,06/14/23 07:15:00 PM,8.11,23.38,,,,
23,06/14/23 07:30:00 PM,8.03,23.20,,,,
24,06/14/23 07:45:00 PM,7.98,23.02,,,,
25,06/14/23 08:00:00 PM,7.88,22.90,,,,
26,06/14/23 08:15:00 PM,7.85,22.78,,,,
27,06/14/23 08:30:00 PM,7.77,22.66,,,,
28,06/14/23 08:45:00 PM,7.75,22.58,,,,
29,06/14/23 09:00:00 PM,7.67,22.46,,,,
30,06/14/23 09:15:00 PM,7.63,22.38,,,,
31,06/14/23 09:30:00 PM,7.62,22.28,,,,
32,06/14/23 09:45:00 PM,7.63,22.16,,,,
33,06/14/23 10:00:00 PM,7.60,22.08,,,,
34,06/14/23 10:15:00 PM,7.55,22.00,,,,
35,06/14/23 10:30:00 PM,7.60,21.90,,,,
36,06/14/23 10:45:00 PM,7.55,21.82,,,,
37,06/14/23 11:00:00 PM,7.55,21.74,,,,
38,06/14/23 11:15:00 PM,7.55,21.68,,,,
39,06/14/23 11:30:00 PM,7.56,21.62,,,,
40,06/14/23 11:45:00 PM,7.52,21.56,,,,
41,06/15/23 12:00:00 AM,7.54,21.52,,,,
42,06/15/23 12:15:00 AM,7.54,21.46,,,,
43,06/15/23 12:30:00 AM,7.52,21.42,,,,
44,06/15/23 12:45:00 AM,7.47,21.38,,,,
45,06/15/23 01:00:00 AM,7.52,21.34,,,,
46,06/15/23 01:15:00 AM,7.49,21.30,,,,
47,06/15/23 01:30:00 AM,7.49,21.28,,,,
48,06/15/23 01:45:00 AM,7.48,21.26,,,,
49,06/15/23 02:00:00 AM,7.46,21.24,,,,
50,06/15/23 02:15:00 AM,7.47,21.20,,,,
51,06/15/23 02:30:00 AM,7.49,21.16,,,,
52,06/15/23 02:45:00 AM,7.44,21.12,,,,
53,06/15/23 03:00:00 AM,7.46,21.08,,,,
54,06/15/23 03:15:00 AM,7.44,21.02,,,,
