"Plot Title: mgas_nhc_cb_poolUp_cond"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 10559463, SEN S/N: 10559463, LBL: Cond)","Full Range, μS/cm (LGR S/N: 10559463, SEN S/N: 10559463)","Temp, °C (LGR S/N: 10559463, SEN S/N: 10559463, LBL: Temp)","Coupler Detached (LGR S/N: 10559463)","Coupler Attached (LGR S/N: 10559463)","Host Connected (LGR S/N: 10559463)","Stopped (LGR S/N: 10559463)","End Of File (LGR S/N: 10559463)"
1,06/14/23 02:00:00 PM,139.3,139.5,23.99,Logged,,,,
2,06/14/23 02:15:00 PM,145.8,146.2,24.08,,,,,
3,06/14/23 02:30:00 PM,148.1,148.0,24.16,,,,,
4,06/14/23 02:45:00 PM,146.7,146.9,24.18,,,,,
5,06/14/23 03:00:00 PM,144.3,144.7,24.18,,,,,
6,06/14/23 03:15:00 PM,142.3,142.4,24.26,,,,,
7,06/14/23 03:30:00 PM,141.2,141.3,24.38,,,,,
8,06/14/23 03:45:00 PM,140.8,141.3,24.54,,,,,
9,06/14/23 04:00:00 PM,140.9,141.3,24.66,,,,,
10,06/14/23 04:15:00 PM,141.1,141.3,24.76,,,,,
11,06/14/23 04:30:00 PM,141.2,141.2,24.79,,,,,
12,06/14/23 04:45:00 PM,141.2,141.2,24.80,,,,,
13,06/14/23 05:00:00 PM,141.2,141.3,24.75,,,,,
14,06/14/23 05:15:00 PM,141.2,141.3,24.72,,,,,
15,06/14/23 05:30:00 PM,141.3,141.6,24.67,,,,,
16,06/14/23 05:45:00 PM,141.7,142.0,24.58,,,,,
17,06/14/23 06:00:00 PM,141.6,142.0,24.52,,,,,
18,06/14/23 06:15:00 PM,141.3,141.3,24.42,,,,,
19,06/14/23 06:30:00 PM,141.4,141.7,24.33,,,,,
20,06/14/23 06:45:00 PM,141.2,141.3,24.21,,,,,
21,06/14/23 07:00:00 PM,140.5,140.6,24.03,,,,,
22,06/14/23 07:15:00 PM,140.1,140.3,23.88,,,,,
23,06/14/23 07:30:00 PM,139.8,139.9,23.71,,,,,
24,06/14/23 07:45:00 PM,139.5,139.6,23.53,,,,,
25,06/14/23 08:00:00 PM,139.1,139.2,23.41,,,,,
26,06/14/23 08:15:00 PM,138.7,138.5,23.29,,,,,
27,06/14/23 08:30:00 PM,138.5,138.5,23.19,,,,,
28,06/14/23 08:45:00 PM,138.3,138.5,23.08,,,,,
29,06/14/23 09:00:00 PM,138.1,138.2,22.99,,,,,
30,06/14/23 09:15:00 PM,138.0,138.2,22.90,,,,,
31,06/14/23 09:30:00 PM,137.9,137.8,22.80,,,,,
32,06/14/23 09:45:00 PM,137.7,137.5,22.70,,,,,
33,06/14/23 10:00:00 PM,137.6,137.1,22.61,,,,,
34,06/14/23 10:15:00 PM,137.3,137.1,22.52,,,,,
35,06/14/23 10:30:00 PM,137.0,136.7,22.42,,,,,
36,06/14/23 10:45:00 PM,136.8,136.8,22.34,,,,,
37,06/14/23 11:00:00 PM,136.7,136.4,22.27,,,,,
