"Plot Title: mgas_nhc_cb_riffle_DO"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 10871155, SEN S/N: 10871155)","Temp, °C (LGR S/N: 10871155, SEN S/N: 10871155)","Coupler Attached (LGR S/N: 10871155)","Host Connected (LGR S/N: 10871155)","Coupler Detached (LGR S/N: 10871155)","Stopped (LGR S/N: 10871155)","End Of File (LGR S/N: 10871155)"
1,06/14/23 02:00:00 PM,8.33,22.50,,,,,
2,06/14/23 02:15:00 PM,8.35,22.46,,,,,
3,06/14/23 02:30:00 PM,8.31,22.64,,,,,
4,06/14/23 02:45:00 PM,8.69,22.92,,,,,
5,06/14/23 03:00:00 PM,9.09,22.88,,,,,
6,06/14/23 03:15:00 PM,8.68,23.38,,,,,
7,06/14/23 03:30:00 PM,8.98,23.56,,,,,
8,06/14/23 03:45:00 PM,8.89,23.54,,,,,
9,06/14/23 04:00:00 PM,9.28,23.70,,,,,
10,06/14/23 04:15:00 PM,8.92,23.66,,,,,
11,06/14/23 04:30:00 PM,9.04,23.68,,,,,
12,06/14/23 04:45:00 PM,8.56,23.74,,,,,
13,06/14/23 05:00:00 PM,9.06,23.84,,,,,
14,06/14/23 05:15:00 PM,8.97,23.90,,,,,
15,06/14/23 05:30:00 PM,8.87,23.92,,,,,
16,06/14/23 05:45:00 PM,8.78,23.94,,,,,
17,06/14/23 06:00:00 PM,8.71,23.94,,,,,
18,06/14/23 06:15:00 PM,8.62,23.96,,,,,
19,06/14/23 06:30:00 PM,8.60,23.94,,,,,
20,06/14/23 06:45:00 PM,8.51,23.90,,,,,
21,06/14/23 07:00:00 PM,8.42,23.86,,,,,
22,06/14/23 07:15:00 PM,8.30,23.82,,,,,
23,06/14/23 07:30:00 PM,8.29,23.78,,,,,
24,06/14/23 07:45:00 PM,8.18,23.72,,,,,
25,06/14/23 08:00:00 PM,8.06,23.64,,,,,
26,06/14/23 08:15:00 PM,8.00,23.60,,,,,
27,06/14/23 08:30:00 PM,7.94,23.52,,,,,
28,06/14/23 08:45:00 PM,7.87,23.44,,,,,
29,06/14/23 09:00:00 PM,7.79,23.36,,,,,
30,06/14/23 09:15:00 PM,7.72,23.30,,,,,
31,06/14/23 09:30:00 PM,7.64,23.20,,,,,
32,06/14/23 09:45:00 PM,7.62,23.12,,,,,
33,06/14/23 10:00:00 PM,7.58,23.04,,,,,
34,06/14/23 10:15:00 PM,7.52,22.94,,,,,
35,06/14/23 10:30:00 PM,7.47,22.86,,,,,
36,06/14/23 10:45:00 PM,7.45,22.76,,,,,
37,06/14/23 11:00:00 PM,7.37,22.64,,,,,
38,06/14/23 11:15:00 PM,7.35,22.56,,,,,
39,06/14/23 11:30:00 PM,7.37,22.46,,,,,
40,06/14/23 11:45:00 PM,7.33,22.40,,,,,
41,06/15/23 12:00:00 AM,7.30,22.32,,,,,
42,06/15/23 12:15:00 AM,7.30,22.22,,,,,
43,06/15/23 12:30:00 AM,7.28,22.14,,,,,
44,06/15/23 12:45:00 AM,7.28,22.06,,,,,
45,06/15/23 01:00:00 AM,7.30,21.98,,,,,
46,06/15/23 01:15:00 AM,7.35,21.88,,,,,
47,06/15/23 01:30:00 AM,7.34,21.82,,,,,
48,06/15/23 01:45:00 AM,7.33,21.74,,,,,
49,06/15/23 02:00:00 AM,7.32,21.66,,,,,
50,06/15/23 02:15:00 AM,7.34,21.58,,,,,
51,06/15/23 02:30:00 AM,7.36,21.50,,,,,
52,06/15/23 02:45:00 AM,7.35,21.42,,,,,
53,06/15/23 03:00:00 AM,7.42,21.36,,,,,
54,06/15/23 03:15:00 AM,7.41,21.28,,,,,
55,06/15/23 03:30:00 AM,7.43,21.20,,,,,
56,06/15/23 03:45:00 AM,7.44,21.12,,,,,
