"Plot Title: mgas_nhc_cb_riffle_cond"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 10523300, SEN S/N: 10523300)","Full Range, μS/cm (LGR S/N: 10523300, SEN S/N: 10523300)","Temp, °C (LGR S/N: 10523300, SEN S/N: 10523300)","Coupler Detached (LGR S/N: 10523300)","Coupler Attached (LGR S/N: 10523300)","Host Connected (LGR S/N: 10523300)","Stopped (LGR S/N: 10523300)","End Of File (LGR S/N: 10523300)"
1,06/14/23 02:00:00 PM,134.8,130.0,21.46,Logged,,,,
2,06/14/23 02:15:00 PM,135.4,131.1,21.41,,,,,
3,06/14/23 02:30:00 PM,136.0,131.8,21.70,,,,,
4,06/14/23 02:45:00 PM,136.6,132.1,22.26,,,,,
5,06/14/23 03:00:00 PM,137.9,133.5,22.68,,,,,
6,06/14/23 03:15:00 PM,135.7,131.3,22.25,,,,,
7,06/14/23 03:30:00 PM,138.1,133.9,22.95,,,,,
8,06/14/23 03:45:00 PM,138.4,133.9,22.92,,,,,
9,06/14/23 04:00:00 PM,139.2,135.3,23.25,,,,,
10,06/14/23 04:15:00 PM,139.0,135.0,23.07,,,,,
11,06/14/23 04:30:00 PM,139.6,135.3,23.19,,,,,
12,06/14/23 04:45:00 PM,140.4,136.5,22.88,,,,,
13,06/14/23 05:00:00 PM,142.2,138.3,23.33,,,,,
14,06/14/23 05:15:00 PM,139.1,135.1,22.12,,,,,
15,06/14/23 05:30:00 PM,143.4,139.4,23.41,,,,,
16,06/14/23 05:45:00 PM,143.3,139.4,23.39,,,,,
17,06/14/23 06:00:00 PM,143.2,139.4,23.44,,,,,
18,06/14/23 06:15:00 PM,140.8,136.5,22.66,,,,,
19,06/14/23 06:30:00 PM,142.1,138.3,23.28,,,,,
20,06/14/23 06:45:00 PM,142.2,137.9,23.41,,,,,
21,06/14/23 07:00:00 PM,141.7,137.5,23.24,,,,,
22,06/14/23 07:15:00 PM,141.5,137.2,23.24,,,,,
23,06/14/23 07:30:00 PM,141.6,137.5,23.28,,,,,
24,06/14/23 07:45:00 PM,141.2,137.2,23.13,,,,,
25,06/14/23 08:00:00 PM,141.1,136.8,23.03,,,,,
26,06/14/23 08:15:00 PM,141.0,136.4,23.08,,,,,
27,06/14/23 08:30:00 PM,141.0,136.8,23.03,,,,,
28,06/14/23 08:45:00 PM,140.8,136.8,22.93,,,,,
29,06/14/23 09:00:00 PM,140.8,136.5,22.87,,,,,
30,06/14/23 09:15:00 PM,140.7,136.5,22.81,,,,,
31,06/14/23 09:30:00 PM,140.6,136.1,22.71,,,,,
32,06/14/23 09:45:00 PM,140.4,136.1,22.61,,,,,
33,06/14/23 10:00:00 PM,140.2,135.8,22.52,,,,,
34,06/14/23 10:15:00 PM,140.2,135.8,22.45,,,,,
35,06/14/23 10:30:00 PM,139.9,135.4,22.34,,,,,
36,06/14/23 10:45:00 PM,139.8,135.4,22.25,,,,,
37,06/14/23 11:00:00 PM,139.6,135.5,22.16,,,,,
38,06/14/23 11:15:00 PM,139.4,135.1,22.06,,,,,
39,06/14/23 11:30:00 PM,139.2,134.4,21.97,,,,,
40,06/14/23 11:45:00 PM,138.9,134.4,21.90,,,,,
41,06/15/23 12:00:00 AM,138.6,134.0,21.81,,,,,
42,06/15/23 12:15:00 AM,138.5,134.0,21.73,,,,,
43,06/15/23 12:30:00 AM,138.3,133.7,21.63,,,,,
44,06/15/23 12:45:00 AM,138.1,133.3,21.58,,,,,
45,06/15/23 01:00:00 AM,137.8,132.9,21.47,,,,,
46,06/15/23 01:15:00 AM,137.6,132.6,21.41,,,,,
47,06/15/23 01:30:00 AM,137.4,132.6,21.33,,,,,
48,06/15/23 01:45:00 AM,137.3,132.2,21.27,,,,,
49,06/15/23 02:00:00 AM,137.1,132.2,21.19,,,,,
50,06/15/23 02:15:00 AM,136.6,131.9,21.10,,,,,
51,06/15/23 02:30:00 AM,136.6,131.5,21.02,,,,,
52,06/15/23 02:45:00 AM,136.3,131.5,20.97,,,,,
53,06/15/23 03:00:00 AM,136.1,131.1,20.88,,,,,
54,06/15/23 03:15:00 AM,135.8,131.2,20.82,,,,,
55,06/15/23 03:30:00 AM,135.6,130.8,20.72,,,,,
56,06/15/23 03:45:00 AM,135.4,130.4,20.64,,,,,
57,06/15/23 04:00:00 AM,135.1,130.1,20.56,,,,,
58,06/15/23 04:15:00 AM,134.8,129.7,20.50,,,,,
59,06/15/23 04:30:00 AM,134.7,129.7,20.43,,,,,
60,06/15/23 04:45:00 AM,134.5,129.7,20.35,,,,,
61,06/15/23 05:00:00 AM,134.4,129.4,20.30,,,,,
62,06/15/23 05:15:00 AM,134.2,129.4,20.22,,,,,
63,06/15/23 05:30:00 AM,134.1,129.0,20.15,,,,,
64,06/15/23 05:45:00 AM,133.9,129.0,20.10,,,,,
65,06/15/23 06:00:00 AM,133.7,129.0,20.02,,,,,
66,06/15/23 06:15:00 AM,133.5,128.7,19.97,,,,,
67,06/15/23 06:30:00 AM,133.5,128.7,19.92,,,,,
68,06/15/23 06:45:00 AM,133.2,128.3,19.84,,,,,
69,06/15/23 07:00:00 AM,133.0,128.3,19.79,,,,,
70,06/15/23 07:15:00 AM,132.7,127.9,19.73,,,,,
71,06/15/23 07:30:00 AM,132.8,128.3,19.72,,,,,
72,06/15/23 07:45:00 AM,132.7,127.9,19.71,,,,,
73,06/15/23 08:00:00 AM,132.7,127.9,19.73,,,,,
74,06/15/23 08:15:00 AM,132.5,127.9,19.68,,,,,
75,06/15/23 08:30:00 AM,132.4,127.9,19.69,,,,,
76,06/15/23 08:45:00 AM,132.5,127.9,19.71,,,,,
77,06/15/23 09:00:00 AM,132.4,127.6,19.72,,,,,
78,06/15/23 09:15:00 AM,132.5,127.9,19.77,,,,,
79,06/15/23 09:30:00 AM,132.6,127.9,19.83,,,,,
80,06/15/23 09:45:00 AM,132.7,127.9,19.88,,,,,
81,06/15/23 10:00:00 AM,132.6,127.9,19.93,,,,,
82,06/15/23 10:15:00 AM,132.7,128.3,20.00,,,,,
83,06/15/23 10:30:00 AM,133.0,128.6,20.11,,,,,
84,06/15/23 10:45:00 AM,133.3,129.0,20.27,,,,,
85,06/15/23 11:00:00 AM,133.7,129.0,20.46,,,,,
86,06/15/23 11:15:00 AM,134.1,129.3,20.60,,,,,
87,06/15/23 11:30:00 AM,134.1,129.3,20.72,,,,,
88,06/15/23 11:45:00 AM,134.5,130.0,20.99,,,,,
89,06/15/23 12:00:00 PM,135.3,130.7,21.27,,,,,
90,06/15/23 12:15:00 PM,136.8,132.2,21.37,,,,,
91,06/15/23 12:30:00 PM,136.3,132.2,21.74,,,,,
92,06/15/23 12:45:00 PM,137.3,132.9,21.86,,,,,
93,06/15/23 01:00:00 PM,137.8,134.1,21.54,,,,,
94,06/15/23 01:15:00 PM,136.9,132.6,21.51,,,,,
95,06/15/23 01:30:00 PM,138.3,134.4,21.77,,,,,
96,06/15/23 01:45:00 PM,138.1,133.9,22.37,,,,,
97,06/15/23 02:00:00 PM,138.5,134.7,22.45,,,,,
98,06/15/23 02:15:00 PM,137.1,133.0,21.27,,,,,
99,06/15/23 02:30:00 PM,137.1,133.0,21.14,,,,,
100,06/15/23 02:45:00 PM,137.4,133.9,22.37,,,,,
101,06/15/23 03:00:00 PM,140.0,136.5,22.41,,,,,
102,06/15/23 03:15:00 PM,139.5,136.1,23.23,,,,,
103,06/15/23 03:30:00 PM,139.1,135.3,23.11,,,,,
104,06/15/23 03:45:00 PM,140.3,136.5,22.97,,,,,
105,06/15/23 04:00:00 PM,140.0,136.0,23.45,,,,,
106,06/15/23 04:15:00 PM,140.2,136.4,23.55,,,,,
107,06/15/23 04:30:00 PM,140.2,136.4,23.52,,,,,
108,06/15/23 04:45:00 PM,140.5,136.7,23.62,,,,,
109,06/15/23 05:00:00 PM,140.8,137.1,23.59,,,,,
110,06/15/23 05:15:00 PM,140.9,137.1,23.66,,,,,
111,06/15/23 05:30:00 PM,141.5,137.9,23.64,,,,,
112,06/15/23 05:45:00 PM,141.2,137.5,23.63,,,,,
113,06/15/23 06:00:00 PM,141.3,137.5,23.60,,,,,
114,06/15/23 06:15:00 PM,141.5,137.5,23.31,,,,,
115,06/15/23 06:30:00 PM,140.7,136.8,23.17,,,,,
116,06/15/23 06:45:00 PM,141.3,137.5,23.57,,,,,
117,06/15/23 07:00:00 PM,141.6,137.9,23.47,,,,,
118,06/15/23 07:15:00 PM,141.6,137.5,23.47,,,,,
119,06/15/23 07:30:00 PM,141.6,137.9,23.43,,,,,
120,06/15/23 07:45:00 PM,141.6,137.5,23.36,,,,,
121,06/15/23 08:00:00 PM,141.7,137.5,23.24,,,,,
122,06/15/23 08:15:00 PM,141.5,137.6,23.19,,,,,
123,06/15/23 08:30:00 PM,141.6,137.6,23.09,,,,,
124,06/15/23 08:45:00 PM,141.3,137.2,22.99,,,,,
125,06/15/23 09:00:00 PM,141.3,137.2,22.89,,,,,
126,06/15/23 09:15:00 PM,141.1,136.9,22.80,,,,,
127,06/15/23 09:30:00 PM,140.9,136.9,22.69,,,,,
128,06/15/23 09:45:00 PM,140.7,136.5,22.61,,,,,
129,06/15/23 10:00:00 PM,140.6,136.5,22.52,,,,,
130,06/15/23 10:15:00 PM,140.4,136.2,22.41,,,,,
