"Plot Title: mgas_nhc_poolDown_DO"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 10808939, SEN S/N: 10808939)","Temp, °C (LGR S/N: 10808939, SEN S/N: 10808939)","Coupler Attached (LGR S/N: 10808939)","Host Connected (LGR S/N: 10808939)","Stopped (LGR S/N: 10808939)","End Of File (LGR S/N: 10808939)"
1,06/21/23 11:45:00 AM,8.52,22.54,,,,
2,06/21/23 12:00:00 PM,8.43,21.02,,,,
3,06/21/23 12:15:00 PM,8.50,20.80,,,,
4,06/21/23 12:30:00 PM,8.50,20.78,,,,
5,06/21/23 12:45:00 PM,8.51,20.78,,,,
6,06/21/23 01:00:00 PM,8.51,20.80,,,,
7,06/21/23 01:15:00 PM,8.51,20.80,,,,
8,06/21/23 01:30:00 PM,8.51,20.78,,,,
9,06/21/23 01:45:00 PM,8.50,20.78,,,,
10,06/21/23 02:00:00 PM,8.51,20.78,,,,
11,06/21/23 02:15:00 PM,8.53,20.80,,,,
12,06/21/23 02:30:00 PM,8.55,20.80,,,,
13,06/21/23 02:45:00 PM,8.54,20.80,,,,
14,06/21/23 03:00:00 PM,8.53,20.80,,,,
15,06/21/23 03:15:00 PM,8.54,20.80,,,,
16,06/21/23 03:30:00 PM,8.56,20.82,,,,
17,06/21/23 03:45:00 PM,8.55,20.82,,,,
18,06/21/23 04:00:00 PM,8.54,20.80,,,,
19,06/21/23 04:15:00 PM,8.54,20.80,,,,
20,06/21/23 04:30:00 PM,8.54,20.78,,,,
21,06/21/23 04:45:00 PM,8.55,20.78,,,,
22,06/21/23 05:00:00 PM,8.57,20.80,,,,
23,06/21/23 05:15:00 PM,8.57,20.82,,,,
24,06/21/23 05:30:00 PM,8.55,20.82,,,,
25,06/21/23 05:45:00 PM,8.53,20.80,,,,
26,06/21/23 06:00:00 PM,8.52,20.80,,,,
27,06/21/23 06:15:00 PM,8.50,20.78,,,,
28,06/21/23 06:30:00 PM,8.49,20.78,,,,
29,06/21/23 06:45:00 PM,8.48,20.76,,,,
30,06/21/23 07:00:00 PM,8.48,20.74,,,,
31,06/21/23 07:15:00 PM,8.46,20.72,,,,
32,06/21/23 07:30:00 PM,8.44,20.72,,,,
33,06/21/23 07:45:00 PM,8.43,20.70,,,,
34,06/21/23 08:00:00 PM,8.42,20.68,,,,
35,06/21/23 08:15:00 PM,8.42,20.66,,,,
36,06/21/23 08:30:00 PM,8.40,20.64,,,,
37,06/21/23 08:45:00 PM,8.40,20.62,,,,
38,06/21/23 09:00:00 PM,8.40,20.60,,,,
39,06/21/23 09:15:00 PM,8.39,20.58,,,,
40,06/21/23 09:30:00 PM,8.39,20.56,,,,
41,06/21/23 09:45:00 PM,8.39,20.54,,,,
42,06/21/23 10:00:00 PM,8.38,20.52,,,,
43,06/21/23 10:15:00 PM,8.39,20.50,,,,
44,06/21/23 10:30:00 PM,8.38,20.48,,,,
45,06/21/23 10:45:00 PM,8.38,20.48,,,,
46,06/21/23 11:00:00 PM,8.39,20.46,,,,
47,06/21/23 11:15:00 PM,8.38,20.44,,,,
48,06/21/23 11:30:00 PM,8.39,20.42,,,,
49,06/21/23 11:45:00 PM,8.38,20.40,,,,
50,06/22/23 12:00:00 AM,8.39,20.38,,,,
51,06/22/23 12:15:00 AM,8.39,20.36,,,,
52,06/22/23 12:30:00 AM,8.39,20.34,,,,
53,06/22/23 12:45:00 AM,8.39,20.32,,,,
54,06/22/23 01:00:00 AM,8.39,20.30,,,,
55,06/22/23 01:15:00 AM,8.39,20.30,,,,
56,06/22/23 01:30:00 AM,8.39,20.28,,,,
57,06/22/23 01:45:00 AM,8.40,20.26,,,,
58,06/22/23 02:00:00 AM,8.39,20.24,,,,
59,06/22/23 02:15:00 AM,8.39,20.22,,,,
60,06/22/23 02:30:00 AM,8.40,20.20,,,,
61,06/22/23 02:45:00 AM,8.39,20.18,,,,
62,06/22/23 03:00:00 AM,8.41,20.16,,,,
63,06/22/23 03:15:00 AM,8.40,20.14,,,,
64,06/22/23 03:30:00 AM,8.40,20.12,,,,
65,06/22/23 03:45:00 AM,8.41,20.12,,,,
66,06/22/23 04:00:00 AM,8.40,20.10,,,,
67,06/22/23 04:15:00 AM,8.41,20.10,,,,
