"Plot Title: NHC-DO"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 10402891, SEN S/N: 10402891)","Temp, °C (LGR S/N: 10402891, SEN S/N: 10402891)","Coupler Attached (LGR S/N: 10402891)","Host Connected (LGR S/N: 10402891)","Stopped (LGR S/N: 10402891)","End Of File (LGR S/N: 10402891)"
1,05/31/23 10:45:00 AM,8.43,18.78,,,,
2,05/31/23 11:00:00 AM,8.55,18.42,,,,
3,05/31/23 11:15:00 AM,8.57,18.40,,,,
4,05/31/23 11:30:00 AM,8.60,18.40,,,,
5,05/31/23 11:45:00 AM,8.57,18.42,,,,
6,05/31/23 12:00:00 PM,8.58,18.44,,,,
7,05/31/23 12:15:00 PM,8.63,18.48,,,,
8,05/31/23 12:30:00 PM,8.59,18.54,,,,
9,05/31/23 12:45:00 PM,8.62,18.54,,,,
10,05/31/23 01:00:00 PM,8.78,18.64,,,,
11,05/31/23 01:15:00 PM,8.76,18.74,,,,
12,05/31/23 01:30:00 PM,8.81,18.82,,,,
13,05/31/23 01:45:00 PM,8.90,18.90,,,,
14,05/31/23 02:00:00 PM,8.85,19.00,,,,
15,05/31/23 02:15:00 PM,8.90,19.04,,,,
16,05/31/23 02:30:00 PM,8.79,19.06,,,,
17,05/31/23 02:45:00 PM,8.80,19.00,,,,
18,05/31/23 03:00:00 PM,8.76,19.00,,,,
19,05/31/23 03:15:00 PM,8.78,19.02,,,,
20,05/31/23 03:30:00 PM,8.74,19.04,,,,
21,05/31/23 03:45:00 PM,8.72,19.08,,,,
22,05/31/23 04:00:00 PM,8.65,19.08,,,,
23,05/31/23 04:15:00 PM,8.60,19.10,,,,
24,05/31/23 04:30:00 PM,8.57,19.08,,,,
25,05/31/23 04:45:00 PM,8.52,19.08,,,,
26,05/31/23 05:00:00 PM,8.48,19.08,,,,
27,05/31/23 05:15:00 PM,8.45,19.08,,,,
28,05/31/23 05:30:00 PM,8.42,19.08,,,,
29,05/31/23 05:45:00 PM,8.42,19.08,,,,
30,05/31/23 06:00:00 PM,8.52,19.06,,,,
31,05/31/23 06:15:00 PM,8.48,19.06,,,,
32,05/31/23 06:30:00 PM,8.46,19.06,,,,
33,05/31/23 06:45:00 PM,8.45,19.08,,,,
34,05/31/23 07:00:00 PM,8.39,19.06,,,,
35,05/31/23 07:15:00 PM,8.32,19.08,,,,
36,05/31/23 07:30:00 PM,8.26,19.10,,,,
37,05/31/23 07:45:00 PM,8.14,19.14,,,,
38,05/31/23 08:00:00 PM,8.03,19.22,,,,
39,05/31/23 08:15:00 PM,7.93,19.32,,,,
40,05/31/23 08:30:00 PM,7.95,19.38,,,,
41,05/31/23 08:45:00 PM,7.86,19.50,,,,
42,05/31/23 09:00:00 PM,7.81,19.58,,,,
43,05/31/23 09:15:00 PM,7.75,19.62,,,,
44,05/31/23 09:30:00 PM,7.74,19.68,,,,
45,05/31/23 09:45:00 PM,7.66,19.74,,,,
46,05/31/23 10:00:00 PM,7.67,19.80,,,,
47,05/31/23 10:15:00 PM,7.66,19.86,,,,
48,05/31/23 10:30:00 PM,7.50,19.94,,,,
49,05/31/23 10:45:00 PM,7.51,20.02,,,,
50,05/31/23 11:00:00 PM,7.66,20.16,,,,
51,05/31/23 11:15:00 PM,7.54,20.24,,,,
52,05/31/23 11:30:00 PM,7.67,20.36,,,,
53,05/31/23 11:45:00 PM,7.59,20.48,,,,
54,06/01/23 12:00:00 AM,7.95,20.70,,,,
55,06/01/23 12:15:00 AM,7.92,20.76,,,,
56,06/01/23 12:30:00 AM,7.92,20.84,,,,
57,06/01/23 12:45:00 AM,7.92,20.84,,,,
58,06/01/23 01:00:00 AM,7.89,20.82,,,,
59,06/01/23 01:15:00 AM,7.87,20.80,,,,
60,06/01/23 01:30:00 AM,7.86,20.76,,,,
61,06/01/23 01:45:00 AM,7.86,20.74,,,,
62,06/01/23 02:00:00 AM,7.86,20.70,,,,
63,06/01/23 02:15:00 AM,7.83,20.68,,,,
64,06/01/23 02:30:00 AM,7.83,20.64,,,,
65,06/01/23 02:45:00 AM,7.81,20.60,,,,
66,06/01/23 03:00:00 AM,7.81,20.56,,,,
67,06/01/23 03:15:00 AM,7.80,20.52,,,,
68,06/01/23 03:30:00 AM,7.79,20.48,,,,
69,06/01/23 03:45:00 AM,7.76,20.44,,,,
70,06/01/23 04:00:00 AM,7.75,20.38,,,,
71,06/01/23 04:15:00 AM,7.76,20.34,,,,
72,06/01/23 04:30:00 AM,7.73,20.28,,,,
73,06/01/23 04:45:00 AM,7.72,20.24,,,,
74,06/01/23 05:00:00 AM,7.69,20.18,,,,
75,06/01/23 05:15:00 AM,7.68,20.14,,,,
76,06/01/23 05:30:00 AM,7.71,20.08,,,,
77,06/01/23 05:45:00 AM,7.69,20.02,,,,
78,06/01/23 06:00:00 AM,7.70,19.98,,,,
79,06/01/23 06:15:00 AM,7.70,19.92,,,,
80,06/01/23 06:30:00 AM,7.69,19.86,,,,
81,06/01/23 06:45:00 AM,7.71,19.80,,,,
82,06/01/23 07:00:00 AM,7.73,19.76,,,,
83,06/01/23 07:15:00 AM,7.73,19.70,,,,
84,06/01/23 07:30:00 AM,7.73,19.64,,,,
85,06/01/23 07:45:00 AM,7.76,19.60,,,,
86,06/01/23 08:00:00 AM,7.76,19.54,,,,
87,06/01/23 08:15:00 AM,7.82,19.48,,,,
88,06/01/23 08:30:00 AM,7.84,19.44,,,,
89,06/01/23 08:45:00 AM,7.83,19.38,,,,
90,06/01/23 09:00:00 AM,7.85,19.34,,,,
91,06/01/23 09:15:00 AM,7.89,19.30,,,,
92,06/01/23 09:30:00 AM,7.92,19.26,,,,
93,06/01/23 09:45:00 AM,7.94,19.22,,,,
94,06/01/23 10:00:00 AM,7.97,19.18,,,,
95,06/01/23 10:15:00 AM,8.02,19.16,,,,
96,06/01/23 10:30:00 AM,8.10,19.16,,,,
97,06/01/23 10:45:00 AM,8.15,19.18,,,,
98,06/01/23 11:00:00 AM,8.21,19.18,,,,
99,06/01/23 11:15:00 AM,8.25,19.20,,,,
100,06/01/23 11:30:00 AM,8.28,19.20,,,,
101,06/01/23 11:45:00 AM,8.32,19.22,,,,
102,06/01/23 12:00:00 PM,8.39,19.22,,,,
103,06/01/23 12:15:00 PM,8.40,19.24,,,,
104,06/01/23 12:30:00 PM,8.45,19.26,,,,
105,06/01/23 12:45:00 PM,8.45,19.28,,,,
106,06/01/23 01:00:00 PM,8.45,19.32,,,,
107,06/01/23 01:15:00 PM,8.55,19.38,,,,
108,06/01/23 01:30:00 PM,8.53,19.44,,,,
109,06/01/23 01:45:00 PM,8.58,19.48,,,,
110,06/01/23 02:00:00 PM,8.56,19.50,,,,
111,06/01/23 02:15:00 PM,8.69,19.58,,,,
112,06/01/23 02:30:00 PM,8.66,19.60,,,,
113,06/01/23 02:45:00 PM,8.76,19.64,,,,
114,06/01/23 03:00:00 PM,8.77,19.66,,,,
115,06/01/23 03:15:00 PM,8.69,19.66,,,,
116,06/01/23 03:30:00 PM,8.74,19.70,,,,
117,06/01/23 03:45:00 PM,8.80,19.72,,,,
118,06/01/23 04:00:00 PM,8.79,19.78,,,,
119,06/01/23 04:15:00 PM,8.82,19.84,,,,
120,06/01/23 04:30:00 PM,8.79,19.84,,,,
121,06/01/23 04:45:00 PM,8.78,19.84,,,,
122,06/01/23 05:00:00 PM,8.67,19.80,,,,
123,06/01/23 05:15:00 PM,8.66,19.78,,,,
124,06/01/23 05:30:00 PM,8.60,19.78,,,,
125,06/01/23 05:45:00 PM,8.62,19.78,,,,
126,06/01/23 06:00:00 PM,8.58,19.78,,,,
127,06/01/23 06:15:00 PM,8.53,19.78,,,,
128,06/01/23 06:30:00 PM,8.43,19.78,,,,
