"Plot Title: mgas_station_2"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 10559459, SEN S/N: 10559459)","Full Range, μS/cm (LGR S/N: 10559459, SEN S/N: 10559459)","Temp, °C (LGR S/N: 10559459, SEN S/N: 10559459)","End Of File (LGR S/N: 10559459)"
1,06/14/23 01:30:00 PM,131.7,131.2,12.54,
2,06/14/23 01:30:05 PM,131.6,131.5,12.54,
3,06/14/23 01:30:10 PM,131.6,131.2,12.53,
4,06/14/23 01:30:15 PM,131.7,131.2,12.53,
5,06/14/23 01:30:20 PM,131.8,131.5,12.54,
6,06/14/23 01:30:25 PM,131.7,131.9,12.53,
7,06/14/23 01:30:30 PM,131.7,131.5,12.54,
8,06/14/23 01:30:35 PM,131.5,131.2,12.51,
9,06/14/23 01:30:40 PM,131.5,131.2,12.51,
10,06/14/23 01:30:45 PM,131.7,131.2,12.53,
11,06/14/23 01:30:50 PM,131.5,131.2,12.53,
12,06/14/23 01:30:55 PM,131.5,131.2,12.51,
13,06/14/23 01:31:00 PM,131.4,131.2,12.50,
14,06/14/23 01:31:05 PM,131.6,131.2,12.53,
15,06/14/23 01:31:10 PM,131.5,131.2,12.50,
16,06/14/23 01:31:15 PM,131.3,130.8,12.50,
17,06/14/23 01:31:20 PM,131.3,131.2,12.51,
18,06/14/23 01:31:25 PM,131.6,131.2,12.51,
19,06/14/23 01:31:30 PM,131.6,131.2,12.51,
20,06/14/23 01:31:35 PM,131.4,131.2,12.50,
21,06/14/23 01:31:40 PM,131.4,131.2,12.50,
22,06/14/23 01:31:45 PM,131.4,131.2,12.50,
23,06/14/23 01:31:50 PM,131.3,130.8,12.50,
24,06/14/23 01:31:55 PM,131.4,130.8,12.51,
25,06/14/23 01:32:00 PM,131.3,130.8,12.51,
26,06/14/23 01:32:05 PM,131.3,131.2,12.51,
27,06/14/23 01:32:10 PM,131.4,131.2,12.51,
28,06/14/23 01:32:15 PM,131.3,130.8,12.51,
29,06/14/23 01:32:20 PM,131.3,130.8,12.51,
30,06/14/23 01:32:25 PM,131.3,130.8,12.51,
31,06/14/23 01:32:30 PM,131.4,131.2,12.53,
32,06/14/23 01:32:35 PM,131.3,130.8,12.51,
33,06/14/23 01:32:40 PM,131.1,130.8,12.50,
34,06/14/23 01:32:45 PM,131.3,130.8,12.53,
35,06/14/23 01:32:50 PM,131.1,130.8,12.50,
36,06/14/23 01:32:55 PM,131.2,130.8,12.51,
37,06/14/23 01:33:00 PM,131.1,130.8,12.50,
38,06/14/23 01:33:05 PM,131.3,130.8,12.53,
39,06/14/23 01:33:10 PM,131.1,130.8,12.53,
40,06/14/23 01:33:15 PM,131.1,130.8,12.51,
41,06/14/23 01:33:20 PM,131.1,130.8,12.53,
42,06/14/23 01:33:25 PM,131.1,130.8,12.53,
43,06/14/23 01:33:30 PM,131.2,130.8,12.51,
44,06/14/23 01:33:35 PM,131.1,130.8,12.54,
45,06/14/23 01:33:40 PM,131.1,130.8,12.53,
46,06/14/23 01:33:45 PM,131.3,130.8,12.54,
47,06/14/23 01:33:50 PM,131.1,130.8,12.53,
48,06/14/23 01:33:55 PM,131.0,130.4,12.51,
49,06/14/23 01:34:00 PM,131.1,130.8,12.53,
50,06/14/23 01:34:05 PM,131.2,130.8,12.51,
51,06/14/23 01:34:10 PM,131.1,130.8,12.53,
52,06/14/23 01:34:15 PM,131.5,131.2,12.54,
53,06/14/23 01:34:20 PM,131.1,130.8,12.51,
54,06/14/23 01:34:25 PM,131.2,130.8,12.53,
55,06/14/23 01:34:30 PM,131.1,130.8,12.53,
56,06/14/23 01:34:35 PM,131.1,130.8,12.53,
57,06/14/23 01:34:40 PM,131.1,130.8,12.51,
58,06/14/23 01:34:45 PM,131.2,130.8,12.53,
59,06/14/23 01:34:50 PM,131.1,130.8,12.53,
60,06/14/23 01:34:55 PM,131.2,130.8,12.53,
61,06/14/23 01:35:00 PM,131.0,130.8,12.53,
62,06/14/23 01:35:05 PM,131.1,130.8,12.50,
63,06/14/23 01:35:10 PM,131.1,130.8,12.53,
64,06/14/23 01:35:15 PM,131.0,130.4,12.51,
65,06/14/23 01:35:20 PM,131.1,130.8,12.53,
66,06/14/23 01:35:25 PM,131.2,130.8,12.53,
67,06/14/23 01:35:30 PM,131.1,130.8,12.53,
68,06/14/23 01:35:35 PM,131.3,130.8,12.53,
69,06/14/23 01:35:40 PM,131.0,130.8,12.54,
70,06/14/23 01:35:45 PM,131.1,130.8,12.54,
71,06/14/23 01:35:50 PM,131.0,130.8,12.54,
72,06/14/23 01:35:55 PM,131.0,130.4,12.53,
73,06/14/23 01:36:00 PM,131.1,130.8,12.54,
74,06/14/23 01:36:05 PM,131.0,130.8,12.55,
75,06/14/23 01:36:10 PM,131.0,130.4,12.54,
76,06/14/23 01:36:15 PM,131.0,130.8,12.55,
77,06/14/23 01:36:20 PM,131.0,130.8,12.57,
78,06/14/23 01:36:25 PM,131.2,130.8,12.55,
79,06/14/23 01:36:30 PM,131.2,130.8,12.57,
80,06/14/23 01:36:35 PM,131.1,130.8,12.57,
81,06/14/23 01:36:40 PM,131.0,130.8,12.57,
82,06/14/23 01:36:45 PM,131.0,130.8,12.55,
83,06/14/23 01:36:50 PM,131.1,130.8,12.55,
84,06/14/23 01:36:55 PM,131.1,130.8,12.55,
85,06/14/23 01:37:00 PM,131.2,130.8,12.55,
86,06/14/23 01:37:05 PM,131.0,130.8,12.55,
87,06/14/23 01:37:10 PM,131.1,130.8,12.55,
88,06/14/23 01:37:15 PM,131.2,130.8,12.55,
89,06/14/23 01:37:20 PM,131.0,130.8,12.55,
90,06/14/23 01:37:25 PM,131.0,130.8,12.57,
91,06/14/23 01:37:30 PM,131.0,130.8,12.57,
92,06/14/23 01:37:35 PM,131.1,130.8,12.55,
93,06/14/23 01:37:40 PM,131.0,130.8,12.55,
94,06/14/23 01:37:45 PM,131.1,130.8,12.55,
95,06/14/23 01:37:50 PM,131.0,130.4,12.55,
96,06/14/23 01:37:55 PM,131.0,130.8,12.55,
97,06/14/23 01:38:00 PM,131.0,130.8,12.57,
98,06/14/23 01:38:05 PM,131.0,130.8,12.57,
99,06/14/23 01:38:10 PM,131.1,130.8,12.58,
100,06/14/23 01:38:15 PM,131.1,130.8,12.57,
101,06/14/23 01:38:20 PM,131.1,130.8,12.57,
102,06/14/23 01:38:25 PM,131.0,130.8,12.58,
103,06/14/23 01:38:30 PM,131.0,130.8,12.57,
104,06/14/23 01:38:35 PM,131.2,130.8,12.59,
105,06/14/23 01:38:40 PM,131.1,130.8,12.59,
106,06/14/23 01:38:45 PM,131.0,130.8,12.58,
107,06/14/23 01:38:50 PM,131.0,130.8,12.59,
108,06/14/23 01:38:55 PM,131.0,130.8,12.58,
109,06/14/23 01:39:00 PM,131.1,130.8,12.60,
110,06/14/23 01:39:05 PM,131.0,130.4,12.57,
111,06/14/23 01:39:10 PM,131.0,130.4,12.60,
112,06/14/23 01:39:15 PM,131.0,130.8,12.59,
