"Plot Title: mgas_station_1"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 10395024, SEN S/N: 10395024)","Full Range, μS/cm (LGR S/N: 10395024, SEN S/N: 10395024)","Temp, °C (LGR S/N: 10395024, SEN S/N: 10395024)","Coupler Detached (LGR S/N: 10395024)","End Of File (LGR S/N: 10395024)"
1,05/25/23 12:00:00 PM,3.7,17.5,24.07,Logged,
2,05/25/23 12:00:05 PM,8.3,6.1,24.05,,
3,05/25/23 12:00:10 PM,3.7,17.5,24.05,,
4,05/25/23 12:00:15 PM,8.3,6.1,24.05,,
5,05/25/23 12:00:20 PM,3.7,6.1,24.04,,
6,05/25/23 12:00:25 PM,3.6,6.1,24.04,,
7,05/25/23 12:00:30 PM,6.4,6.1,24.03,,
8,05/25/23 12:00:35 PM,8.3,6.1,24.03,,
9,05/25/23 12:00:40 PM,3.7,6.1,24.01,,
10,05/25/23 12:00:45 PM,3.6,6.1,24.00,,
11,05/25/23 12:00:50 PM,3.7,6.1,24.00,,
12,05/25/23 12:00:55 PM,3.7,6.1,23.99,,
13,05/25/23 12:01:00 PM,3.7,6.1,23.97,,
14,05/25/23 12:01:05 PM,3.7,6.1,23.97,,
15,05/25/23 12:01:10 PM,6.4,6.1,23.96,,
16,05/25/23 12:01:15 PM,3.7,17.5,23.96,,
17,05/25/23 12:01:20 PM,6.4,6.1,23.95,,
18,05/25/23 12:01:25 PM,3.7,6.1,23.95,,
19,05/25/23 12:01:30 PM,6.4,6.1,23.93,,
20,05/25/23 12:01:35 PM,3.7,6.1,23.92,,
21,05/25/23 12:01:40 PM,3.6,6.1,23.91,,
22,05/25/23 12:01:45 PM,8.3,17.5,23.91,,
23,05/25/23 12:01:50 PM,3.7,17.5,23.89,,
24,05/25/23 12:01:55 PM,3.6,6.1,23.88,,
25,05/25/23 12:02:00 PM,3.6,6.1,23.87,,
26,05/25/23 12:02:05 PM,3.6,6.1,23.85,,
27,05/25/23 12:02:10 PM,3.6,6.1,23.85,,
28,05/25/23 12:02:15 PM,3.7,6.1,23.84,,
29,05/25/23 12:02:20 PM,3.6,6.1,23.83,,
30,05/25/23 12:02:25 PM,3.7,17.5,23.83,,
31,05/25/23 12:02:30 PM,3.6,6.1,23.81,,
32,05/25/23 12:02:35 PM,3.6,17.5,23.80,,
33,05/25/23 12:02:40 PM,6.4,6.1,23.80,,
34,05/25/23 12:02:45 PM,3.7,6.1,23.79,,
35,05/25/23 12:02:50 PM,6.4,6.1,23.77,,
36,05/25/23 12:02:55 PM,8.3,17.5,23.76,,
37,05/25/23 12:03:00 PM,3.6,6.1,23.76,,
38,05/25/23 12:03:05 PM,8.3,6.1,23.76,,
39,05/25/23 12:03:10 PM,3.6,6.1,23.75,,
40,05/25/23 12:03:15 PM,3.7,6.1,23.73,,
41,05/25/23 12:03:20 PM,3.6,6.1,23.72,,
42,05/25/23 12:03:25 PM,3.6,6.1,23.72,,
43,05/25/23 12:03:30 PM,8.3,6.1,23.71,,
44,05/25/23 12:03:35 PM,3.7,6.1,23.71,,
45,05/25/23 12:03:40 PM,6.4,6.1,23.69,,
46,05/25/23 12:03:45 PM,3.6,6.1,23.68,,
47,05/25/23 12:03:50 PM,3.7,17.5,23.64,,
48,05/25/23 12:03:55 PM,3.6,17.5,23.69,,
49,05/25/23 12:04:00 PM,37.1,6.1,23.77,,
50,05/25/23 12:04:05 PM,6.1,12.6,23.77,,
51,05/25/23 12:04:10 PM,24.8,26.3,23.77,,
52,05/25/23 12:04:15 PM,24.8,6.1,23.77,,
53,05/25/23 12:04:20 PM,24.8,17.5,23.77,,
54,05/25/23 12:04:25 PM,8.3,6.1,23.77,,
55,05/25/23 12:04:30 PM,24.8,17.5,23.77,,
56,05/25/23 12:04:35 PM,24.8,17.5,23.77,,
57,05/25/23 12:04:40 PM,24.8,17.5,23.77,,
58,05/25/23 12:04:45 PM,24.8,17.5,23.77,,
59,05/25/23 12:04:50 PM,24.8,6.1,23.77,,
60,05/25/23 12:04:55 PM,8.3,17.5,23.77,,
61,05/25/23 12:05:00 PM,24.8,17.5,23.77,,
62,05/25/23 12:05:05 PM,24.8,6.1,23.76,,
63,05/25/23 12:05:10 PM,8.3,6.1,23.77,,
64,05/25/23 12:05:15 PM,8.3,6.1,23.77,,
65,05/25/23 12:05:20 PM,8.3,17.5,23.77,,
66,05/25/23 12:05:25 PM,24.8,6.1,23.77,,
67,05/25/23 12:05:30 PM,24.8,17.5,23.77,,
68,05/25/23 12:05:35 PM,8.3,17.5,23.79,,
69,05/25/23 12:05:40 PM,8.3,6.1,23.80,,
70,05/25/23 12:05:45 PM,24.8,6.1,23.80,,
71,05/25/23 12:05:50 PM,6.4,17.5,23.80,,
72,05/25/23 12:05:55 PM,24.8,12.6,23.81,,
73,05/25/23 12:06:00 PM,8.3,6.1,23.81,,
74,05/25/23 12:06:05 PM,8.3,17.5,23.81,,
75,05/25/23 12:06:10 PM,6.4,17.5,23.81,,
76,05/25/23 12:06:15 PM,6.4,17.5,23.81,,
77,05/25/23 12:06:20 PM,3.7,17.5,23.81,,
78,05/25/23 12:06:25 PM,24.8,6.1,23.81,,
79,05/25/23 12:06:30 PM,8.3,17.5,23.81,,
80,05/25/23 12:06:35 PM,8.3,26.3,23.81,,
81,05/25/23 12:06:40 PM,8.3,6.1,23.83,,
82,05/25/23 12:06:45 PM,6.4,17.5,23.81,,
83,05/25/23 12:06:50 PM,24.8,6.1,23.81,,
84,05/25/23 12:06:55 PM,8.3,6.1,23.81,,
85,05/25/23 12:07:00 PM,8.3,26.3,23.81,,
