"Plot Title: mgas_station_4"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 10559458, SEN S/N: 10559458)","Full Range, μS/cm (LGR S/N: 10559458, SEN S/N: 10559458, LBL: SC)","Temp, °C (LGR S/N: 10559458, SEN S/N: 10559458)","Coupler Detached (LGR S/N: 10559458)","Bad Battery (LGR S/N: 10559458)","End Of File (LGR S/N: 10559458)"
1,05/25/23 12:00:00 PM,4.1,2.9,24.40,Logged,,
2,05/25/23 12:00:05 PM,2.7,6.6,24.38,,,
3,05/25/23 12:00:10 PM,2.8,2.9,24.38,,,
4,05/25/23 12:00:15 PM,2.7,6.6,24.38,,,
5,05/25/23 12:00:20 PM,4.3,6.6,24.38,,,
6,05/25/23 12:00:25 PM,4.3,6.6,24.38,,,
7,05/25/23 12:00:30 PM,4.3,6.6,24.37,,,
8,05/25/23 12:00:35 PM,2.7,6.6,24.37,,,
9,05/25/23 12:00:40 PM,4.1,27.6,24.37,,,
10,05/25/23 12:00:45 PM,4.1,6.6,24.36,,,
11,05/25/23 12:00:50 PM,2.7,6.6,24.36,,,
12,05/25/23 12:00:55 PM,4.3,2.9,24.36,,,
13,05/25/23 12:01:00 PM,4.3,6.6,24.34,,,
14,05/25/23 12:01:05 PM,4.3,6.6,24.34,,,
15,05/25/23 12:01:10 PM,4.3,6.6,24.33,,,
16,05/25/23 12:01:15 PM,2.7,6.6,24.33,,,
17,05/25/23 12:01:20 PM,2.7,2.9,24.33,,,
18,05/25/23 12:01:25 PM,4.1,6.6,24.32,,,
19,05/25/23 12:01:30 PM,2.7,6.6,24.32,,,
20,05/25/23 12:01:35 PM,4.1,6.6,24.32,,,
21,05/25/23 12:01:40 PM,4.3,6.6,24.32,,,
22,05/25/23 12:01:45 PM,2.7,6.6,24.32,,,
23,05/25/23 12:01:50 PM,2.7,2.9,24.32,,,
24,05/25/23 12:01:55 PM,4.3,2.9,24.32,,,
25,05/25/23 12:02:00 PM,2.7,6.6,24.30,,,
26,05/25/23 12:02:05 PM,2.8,6.6,24.30,,,
27,05/25/23 12:02:10 PM,2.7,6.6,24.30,,,
28,05/25/23 12:02:15 PM,4.3,6.6,24.29,,,
29,05/25/23 12:02:20 PM,2.7,6.6,24.29,,,
30,05/25/23 12:02:25 PM,2.7,6.6,24.29,,,
31,05/25/23 12:02:30 PM,4.3,6.6,24.29,,,
