"Plot Title: mgas_station_5"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 10700193, SEN S/N: 10700193)","High Range, μS/cm (LGR S/N: 10700193, SEN S/N: 10700193)","Temp, °C (LGR S/N: 10700193, SEN S/N: 10700193)","Coupler Detached (LGR S/N: 10700193)","End Of File (LGR S/N: 10700193)"
1,05/25/23 12:00:00 PM,0.0,0.0,23.95,Logged,
2,05/25/23 12:00:05 PM,0.0,0.0,23.95,,
3,05/25/23 12:00:10 PM,0.0,0.0,23.95,,
4,05/25/23 12:00:15 PM,0.0,0.0,23.94,,
5,05/25/23 12:00:20 PM,0.0,0.0,23.94,,
6,05/25/23 12:00:25 PM,0.0,0.0,23.93,,
7,05/25/23 12:00:30 PM,0.0,0.0,23.93,,
8,05/25/23 12:00:35 PM,0.0,0.0,23.91,,
9,05/25/23 12:00:40 PM,0.0,0.0,23.91,,
10,05/25/23 12:00:45 PM,0.0,0.0,23.90,,
11,05/25/23 12:00:50 PM,0.0,0.0,23.90,,
12,05/25/23 12:00:55 PM,0.0,0.0,23.88,,
13,05/25/23 12:01:00 PM,0.0,0.0,23.88,,
14,05/25/23 12:01:05 PM,0.0,0.0,23.87,,
15,05/25/23 12:01:10 PM,0.0,0.0,23.87,,
16,05/25/23 12:01:15 PM,0.0,0.0,23.86,,
17,05/25/23 12:01:20 PM,0.0,0.0,23.86,,
18,05/25/23 12:01:25 PM,0.0,0.0,23.84,,
19,05/25/23 12:01:30 PM,0.0,0.0,23.83,,
20,05/25/23 12:01:35 PM,0.0,0.0,23.82,,
21,05/25/23 12:01:40 PM,0.0,0.0,23.82,,
22,05/25/23 12:01:45 PM,0.0,0.0,23.80,,
23,05/25/23 12:01:50 PM,0.0,0.0,23.80,,
24,05/25/23 12:01:55 PM,0.0,0.0,23.79,,
25,05/25/23 12:02:00 PM,0.0,0.0,23.78,,
26,05/25/23 12:02:05 PM,0.0,0.0,23.78,,
27,05/25/23 12:02:10 PM,0.0,0.0,23.76,,
28,05/25/23 12:02:15 PM,0.0,0.0,23.75,,
29,05/25/23 12:02:20 PM,0.0,0.0,23.75,,
30,05/25/23 12:02:25 PM,0.0,0.0,23.75,,
31,05/25/23 12:02:30 PM,0.0,0.0,23.74,,
32,05/25/23 12:02:35 PM,0.0,0.0,23.72,,
33,05/25/23 12:02:40 PM,0.0,0.0,23.72,,
34,05/25/23 12:02:45 PM,0.0,0.0,23.71,,
35,05/25/23 12:02:50 PM,0.0,0.0,23.69,,
36,05/25/23 12:02:55 PM,0.0,0.0,23.68,,
37,05/25/23 12:03:00 PM,0.0,0.0,23.68,,
38,05/25/23 12:03:05 PM,0.0,0.0,23.68,,
39,05/25/23 12:03:10 PM,0.0,0.0,23.67,,
40,05/25/23 12:03:15 PM,0.0,0.0,23.65,,
