"Plot Title: mgas_wd_station_1_2023-06-06"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 10395038, SEN S/N: 10395038)","Full Range, μS/cm (LGR S/N: 10395038, SEN S/N: 10395038)","Temp, °C (LGR S/N: 10395038, SEN S/N: 10395038)","Coupler Detached (LGR S/N: 10395038)","Coupler Attached (LGR S/N: 10395038)","Host Connected (LGR S/N: 10395038)","Stopped (LGR S/N: 10395038)","End Of File (LGR S/N: 10395038)"
1,06/06/23 10:59:52 AM,4.3,7.2,25.99,,,,,
2,06/06/23 10:59:57 AM,3.1,7.2,26.00,,,,,
3,06/06/23 10:59:59 AM,,,,Logged,,,,
4,06/06/23 11:00:02 AM,2.5,7.2,26.20,,,,,
5,06/06/23 11:00:07 AM,2.9,3.7,26.38,,,,,
6,06/06/23 11:00:12 AM,3.1,7.2,26.40,,,,,
7,06/06/23 11:00:17 AM,4.5,7.2,26.41,,,,,
8,06/06/23 11:00:22 AM,3.1,7.2,26.45,,,,,
9,06/06/23 11:00:27 AM,3.1,7.2,26.51,,,,,
10,06/06/23 11:00:32 AM,3.1,7.2,26.57,,,,,
11,06/06/23 11:00:37 AM,3.1,7.2,26.62,,,,,
12,06/06/23 11:00:42 AM,3.1,7.2,26.67,,,,,
13,06/06/23 11:00:47 AM,4.3,7.2,26.71,,,,,
14,06/06/23 11:00:52 AM,4.3,7.2,26.76,,,,,
15,06/06/23 11:00:57 AM,3.1,7.2,26.79,,,,,
16,06/06/23 11:01:02 AM,4.3,7.2,26.83,,,,,
17,06/06/23 11:01:07 AM,3.1,7.2,26.87,,,,,
18,06/06/23 11:01:12 AM,2.9,7.2,26.91,,,,,
19,06/06/23 11:01:17 AM,3.1,7.2,26.93,,,,,
20,06/06/23 11:01:22 AM,3.1,7.2,26.97,,,,,
21,06/06/23 11:01:27 AM,4.3,7.2,27.01,,,,,
22,06/06/23 11:01:32 AM,3.1,7.2,27.05,,,,,
23,06/06/23 11:01:37 AM,3.1,7.2,27.08,,,,,
24,06/06/23 11:01:42 AM,2.9,7.2,27.12,,,,,
25,06/06/23 11:01:47 AM,3.1,7.2,27.13,,,,,
26,06/06/23 11:01:52 AM,2.5,7.2,27.14,,,,,
27,06/06/23 11:01:57 AM,3.1,3.7,27.14,,,,,
