"id","Date_Time","Low_Range","Full_Range","Temp_C","station"
1,2023-05-25 12:00:00,3.7,17.5,24.07,2
2,2023-05-25 12:00:05,8.3,6.1,24.05,2
3,2023-05-25 12:00:10,3.7,17.5,24.05,2
4,2023-05-25 12:00:15,8.3,6.1,24.05,2
5,2023-05-25 12:00:20,3.7,6.1,24.04,2
6,2023-05-25 12:00:25,3.6,6.1,24.04,2
7,2023-05-25 12:00:30,6.4,6.1,24.03,2
8,2023-05-25 12:00:35,8.3,6.1,24.03,2
9,2023-05-25 12:00:40,3.7,6.1,24.01,2
10,2023-05-25 12:00:45,3.6,6.1,24,2
11,2023-05-25 12:00:50,3.7,6.1,24,2
12,2023-05-25 12:00:55,3.7,6.1,23.99,2
13,2023-05-25 12:01:00,3.7,6.1,23.97,2
14,2023-05-25 12:01:05,3.7,6.1,23.97,2
15,2023-05-25 12:01:10,6.4,6.1,23.96,2
16,2023-05-25 12:01:15,3.7,17.5,23.96,2
17,2023-05-25 12:01:20,6.4,6.1,23.95,2
18,2023-05-25 12:01:25,3.7,6.1,23.95,2
19,2023-05-25 12:01:30,6.4,6.1,23.93,2
20,2023-05-25 12:01:35,3.7,6.1,23.92,2
21,2023-05-25 12:01:40,3.6,6.1,23.91,2
22,2023-05-25 12:01:45,8.3,17.5,23.91,2
23,2023-05-25 12:01:50,3.7,17.5,23.89,2
24,2023-05-25 12:01:55,3.6,6.1,23.88,2
25,2023-05-25 12:02:00,3.6,6.1,23.87,2
26,2023-05-25 12:02:05,3.6,6.1,23.85,2
27,2023-05-25 12:02:10,3.6,6.1,23.85,2
28,2023-05-25 12:02:15,3.7,6.1,23.84,2
29,2023-05-25 12:02:20,3.6,6.1,23.83,2
30,2023-05-25 12:02:25,3.7,17.5,23.83,2
31,2023-05-25 12:02:30,3.6,6.1,23.81,2
32,2023-05-25 12:02:35,3.6,17.5,23.8,2
33,2023-05-25 12:02:40,6.4,6.1,23.8,2
34,2023-05-25 12:02:45,3.7,6.1,23.79,2
35,2023-05-25 12:02:50,6.4,6.1,23.77,2
36,2023-05-25 12:02:55,8.3,17.5,23.76,2
37,2023-05-25 12:03:00,3.6,6.1,23.76,2
38,2023-05-25 12:03:05,8.3,6.1,23.76,2
39,2023-05-25 12:03:10,3.6,6.1,23.75,2
40,2023-05-25 12:03:15,3.7,6.1,23.73,2
41,2023-05-25 12:03:20,3.6,6.1,23.72,2
42,2023-05-25 12:03:25,3.6,6.1,23.72,2
43,2023-05-25 12:03:30,8.3,6.1,23.71,2
44,2023-05-25 12:03:35,3.7,6.1,23.71,2
45,2023-05-25 12:03:40,6.4,6.1,23.69,2
46,2023-05-25 12:03:45,3.6,6.1,23.68,2
47,2023-05-25 12:03:50,3.7,17.5,23.64,2
48,2023-05-25 12:03:55,3.6,17.5,23.69,2
49,2023-05-25 12:04:00,37.1,6.1,23.77,2
50,2023-05-25 12:04:05,6.1,12.6,23.77,2
51,2023-05-25 12:04:10,24.8,26.3,23.77,2
52,2023-05-25 12:04:15,24.8,6.1,23.77,2
53,2023-05-25 12:04:20,24.8,17.5,23.77,2
54,2023-05-25 12:04:25,8.3,6.1,23.77,2
55,2023-05-25 12:04:30,24.8,17.5,23.77,2
56,2023-05-25 12:04:35,24.8,17.5,23.77,2
57,2023-05-25 12:04:40,24.8,17.5,23.77,2
58,2023-05-25 12:04:45,24.8,17.5,23.77,2
59,2023-05-25 12:04:50,24.8,6.1,23.77,2
60,2023-05-25 12:04:55,8.3,17.5,23.77,2
61,2023-05-25 12:05:00,24.8,17.5,23.77,2
62,2023-05-25 12:05:05,24.8,6.1,23.76,2
63,2023-05-25 12:05:10,8.3,6.1,23.77,2
64,2023-05-25 12:05:15,8.3,6.1,23.77,2
65,2023-05-25 12:05:20,8.3,17.5,23.77,2
66,2023-05-25 12:05:25,24.8,6.1,23.77,2
67,2023-05-25 12:05:30,24.8,17.5,23.77,2
68,2023-05-25 12:05:35,8.3,17.5,23.79,2
69,2023-05-25 12:05:40,8.3,6.1,23.8,2
70,2023-05-25 12:05:45,24.8,6.1,23.8,2
71,2023-05-25 12:05:50,6.4,17.5,23.8,2
72,2023-05-25 12:05:55,24.8,12.6,23.81,2
73,2023-05-25 12:06:00,8.3,6.1,23.81,2
