"Date_Time","Low_Range","Full_Range","Temp_C","station"
2023-05-25 12:00:05,2.7,6.6,24.38,3
2023-05-25 12:00:10,2.8,2.9,24.38,3
2023-05-25 12:00:15,2.7,6.6,24.38,3
2023-05-25 12:00:20,4.3,6.6,24.38,3
2023-05-25 12:00:25,4.3,6.6,24.38,3
2023-05-25 12:00:30,4.3,6.6,24.37,3
2023-05-25 12:00:35,2.7,6.6,24.37,3
2023-05-25 12:00:40,4.1,27.6,24.37,3
2023-05-25 12:00:45,4.1,6.6,24.36,3
2023-05-25 12:00:50,2.7,6.6,24.36,3
2023-05-25 12:00:55,4.3,2.9,24.36,3
2023-05-25 12:01:00,4.3,6.6,24.34,3
2023-05-25 12:01:05,4.3,6.6,24.34,3
2023-05-25 12:01:10,4.3,6.6,24.33,3
2023-05-25 12:01:15,2.7,6.6,24.33,3
2023-05-25 12:01:20,2.7,2.9,24.33,3
2023-05-25 12:01:25,4.1,6.6,24.32,3
2023-05-25 12:01:30,2.7,6.6,24.32,3
2023-05-25 12:01:35,4.1,6.6,24.32,3
2023-05-25 12:01:40,4.3,6.6,24.32,3
2023-05-25 12:01:45,2.7,6.6,24.32,3
2023-05-25 12:01:50,2.7,2.9,24.32,3
2023-05-25 12:01:55,4.3,2.9,24.32,3
2023-05-25 12:02:00,2.7,6.6,24.3,3
2023-05-25 12:02:05,2.8,6.6,24.3,3
2023-05-25 12:02:10,2.7,6.6,24.3,3
2023-05-25 12:02:15,4.3,6.6,24.29,3
2023-05-25 12:02:20,2.7,6.6,24.29,3
2023-05-25 12:02:25,2.7,6.6,24.29,3
2023-05-25 12:02:30,4.3,6.6,24.29,3
2023-05-25 12:02:35,2.8,6.6,24.28,3
2023-05-25 12:02:40,2.7,6.6,24.28,3
2023-05-25 12:02:45,2.7,2.9,24.28,3
2023-05-25 12:02:50,2.8,6.6,24.28,3
2023-05-25 12:02:55,2.7,6.6,24.26,3
2023-05-25 12:03:00,2.7,6.6,24.26,3
2023-05-25 12:03:05,2.7,6.6,24.26,3
2023-05-25 12:03:10,4.1,6.6,24.25,3
2023-05-25 12:03:15,4.3,6.6,24.25,3
2023-05-25 12:03:20,2.7,6.6,24.25,3
2023-05-25 12:03:25,2.8,6.6,24.25,3
2023-05-25 12:03:30,2.7,6.6,24.24,3
2023-05-25 12:03:35,2.7,6.6,24.24,3
2023-05-25 12:03:40,4.3,6.6,24.24,3
2023-05-25 12:03:45,2.7,6.6,24.24,3
2023-05-25 12:03:50,2.7,2.9,24.88,3
2023-05-25 12:03:55,2.7,6.6,24.68,3
2023-05-25 12:04:00,4.3,6.6,24.54,3
2023-05-25 12:04:05,2.7,6.6,24.57,3
2023-05-25 12:04:10,4.3,6.6,24.55,3
2023-05-25 12:04:15,2.8,6.6,24.54,3
2023-05-25 12:04:20,4.3,27.5,24.55,3
2023-05-25 12:04:25,4.3,6.6,24.59,3
2023-05-25 12:04:30,2.7,6.6,24.57,3
2023-05-25 12:04:35,2.8,6.6,24.58,3
2023-05-25 12:04:40,2.7,6.6,24.6,3
2023-05-25 12:04:45,2.7,2.9,24.64,3
2023-05-25 12:04:50,2.7,6.6,24.66,3
2023-05-25 12:04:55,2.7,6.6,24.67,3
2023-05-25 12:05:00,4.3,6.6,24.7,3
2023-05-25 12:05:05,2.7,6.6,24.7,3
2023-05-25 12:05:10,4.3,6.6,24.71,3
2023-05-25 12:05:15,2.7,6.6,24.71,3
2023-05-25 12:05:20,2.8,6.6,24.72,3
2023-05-25 12:05:25,2.3,6.6,24.73,3
2023-05-25 12:05:30,2.7,6.6,24.75,3
2023-05-25 12:05:35,4.3,6.6,24.77,3
2023-05-25 12:05:40,2.7,6.6,24.77,3
2023-05-25 12:05:45,4.3,6.6,24.79,3
2023-05-25 12:05:50,2.7,6.6,24.77,3
2023-05-25 12:05:55,4.1,6.6,24.79,3
2023-05-25 12:06:00,4.3,6.6,24.81,3
2023-05-25 12:06:05,2.7,6.6,24.84,3
2023-05-25 12:06:10,2.7,2.9,24.85,3
2023-05-25 12:06:15,2.7,6.6,24.85,3
2023-05-25 12:06:20,4.3,6.6,24.88,3
2023-05-25 12:06:25,2.6,6.6,24.88,3
2023-05-25 12:06:30,4.3,4.4,24.88,3
2023-05-25 12:06:35,4.3,6.6,24.89,3
2023-05-25 12:06:40,4.1,6.6,24.89,3
2023-05-25 12:06:45,2.7,6.6,24.9,3
2023-05-25 12:06:50,2.8,6.6,24.92,3
2023-05-25 12:06:55,4.3,2.9,24.94,3
2023-05-25 12:07:00,2.8,6.6,24.97,3
2023-05-25 12:07:05,2.7,2.9,25,3
2023-05-25 12:07:10,2.7,2.9,25.04,3
2023-05-25 12:07:15,2.8,2.9,25.06,3
2023-05-25 12:07:20,2.8,6.6,25.07,3
2023-05-25 12:07:25,4.3,6.6,25.1,3
2023-05-25 12:07:30,2.7,2.9,25.11,3
2023-05-25 12:07:35,4.1,6.6,25.14,3
2023-05-25 12:07:40,2.8,6.6,25.17,3
2023-05-25 12:07:45,2.7,6.6,25.19,3
2023-05-25 12:07:50,2.7,6.6,25.22,3
2023-05-25 12:07:55,2.7,27.5,25.24,3
2023-05-25 12:08:00,4.3,6.6,25.28,3
2023-05-25 12:08:05,2.7,6.6,25.27,3
2023-05-25 12:08:10,2.7,6.6,25.27,3
2023-05-25 12:08:15,2.8,6.6,25.3,3
2023-05-25 12:08:20,2.8,6.6,25.31,3
2023-05-25 12:08:25,2.7,2.9,25.34,3
2023-05-25 12:08:30,2.7,6.6,25.35,3
2023-05-25 12:08:35,2.7,6.6,25.36,3
2023-05-25 12:08:40,2.8,6.6,25.39,3
2023-05-25 12:08:45,2.7,6.6,25.41,3
2023-05-25 12:08:50,4.3,6.6,25.44,3
2023-05-25 12:08:55,4.3,6.6,25.47,3
2023-05-25 12:09:00,2.8,27.5,25.47,3
2023-05-25 12:09:05,4.3,6.6,25.48,3
2023-05-25 12:09:10,2.8,6.6,25.49,3
2023-05-25 12:09:15,2.7,2.9,25.52,3
2023-05-25 12:09:20,2.7,6.6,25.52,3
2023-05-25 12:09:25,4.1,6.6,25.53,3
2023-05-25 12:09:30,2.7,6.6,25.54,3
2023-05-25 12:09:35,2.7,6.6,25.54,3
2023-05-25 12:09:40,2.7,6.6,25.56,3
2023-05-25 12:09:45,2.7,6.6,25.56,3
2023-05-25 12:09:50,4.3,6.6,25.57,3
2023-05-25 12:09:55,2.8,6.6,25.58,3
2023-05-25 12:10:00,2.7,6.6,25.6,3
2023-05-25 12:10:05,2.7,6.6,25.62,3
2023-05-25 12:10:10,2.8,6.6,25.53,3
2023-05-25 12:10:15,2.8,2.9,25.54,3
2023-05-25 12:10:20,2.7,2.9,25.56,3
2023-05-25 12:10:25,2.7,6.6,25.56,3
2023-05-25 12:10:30,4.3,6.6,25.56,3
2023-05-25 12:10:35,2.7,6.6,25.54,3
2023-05-25 12:10:40,4.1,6.6,25.52,3
2023-05-25 12:10:45,4.3,6.6,25.53,3
2023-05-25 12:10:50,4.3,6.6,25.54,3
2023-05-25 12:10:55,2.7,6.6,25.54,3
2023-05-25 12:11:00,2.8,6.6,25.54,3
2023-05-25 12:11:05,2.7,6.6,25.56,3
2023-05-25 12:11:10,4.3,6.6,25.56,3
2023-05-25 12:11:15,2.7,6.6,25.56,3
2023-05-25 12:11:20,2.7,6.6,25.56,3
2023-05-25 12:11:25,2.8,6.6,25.57,3
2023-05-25 12:11:30,4.1,6.6,25.56,3
2023-05-25 12:11:35,2.8,4.3,25.56,3
2023-05-25 12:11:40,4.1,6.6,25.54,3
2023-05-25 12:11:45,2.8,6.6,25.49,3
2023-05-25 12:11:50,4.3,6.6,25.44,3
2023-05-25 12:11:55,2.8,6.6,25.43,3
2023-05-25 12:12:00,2.8,6.6,25.41,3
2023-05-25 12:12:05,4.3,6.6,25.45,3
2023-05-25 12:12:10,2.8,6.6,25.48,3
2023-05-25 12:12:15,2.7,6.6,25.49,3
2023-05-25 12:12:20,2.8,6.6,25.51,3
2023-05-25 12:12:25,2.7,6.6,25.52,3
2023-05-25 12:12:30,2.8,4.3,25.52,3
2023-05-25 12:12:35,4.3,6.6,25.53,3
2023-05-25 12:12:40,2.7,6.6,25.54,3
2023-05-25 12:12:45,4.3,6.6,25.56,3
2023-05-25 12:12:50,2.7,6.6,25.57,3
2023-05-25 12:12:55,2.8,6.6,25.57,3
2023-05-25 12:13:00,2.8,6.6,25.57,3
2023-05-25 12:13:05,4.3,6.6,25.6,3
2023-05-25 12:13:10,2.8,6.6,25.6,3
2023-05-25 12:13:15,4.3,6.6,25.6,3
2023-05-25 12:13:20,2.8,6.6,25.6,3
2023-05-25 12:13:25,4.3,27.5,25.61,3
2023-05-25 12:13:30,4.3,6.6,25.61,3
2023-05-25 12:13:35,2.8,6.6,25.62,3
2023-05-25 12:13:40,2.7,6.6,25.6,3
2023-05-25 12:13:45,2.7,6.6,25.57,3
2023-05-25 12:13:50,2.7,6.6,25.58,3
2023-05-25 12:13:55,2.7,6.6,25.56,3
2023-05-25 12:14:00,4.3,6.6,25.57,3
2023-05-25 12:14:05,2.8,6.6,25.56,3
2023-05-25 12:14:10,4.3,6.6,25.56,3
2023-05-25 12:14:15,4.3,6.6,25.56,3
