"Plot Title: mgas_wd_station_2_2023-06-06"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 10559459, SEN S/N: 10559459)","Full Range, μS/cm (LGR S/N: 10559459, SEN S/N: 10559459)","Temp, °C (LGR S/N: 10559459, SEN S/N: 10559459)","Host Connected (LGR S/N: 10559459)","Stopped (LGR S/N: 10559459)","End Of File (LGR S/N: 10559459)"
1,06/06/23 11:00:00 AM,3.0,5.0,14.05,,,
2,06/06/23 11:00:05 AM,3.0,7.6,14.05,,,
3,06/06/23 11:00:10 AM,3.0,7.6,14.05,,,
4,06/06/23 11:00:15 AM,2.9,7.6,14.05,,,
5,06/06/23 11:00:20 AM,2.9,5.0,14.04,,,
6,06/06/23 11:00:25 AM,2.3,3.9,14.32,,,
7,06/06/23 11:00:30 AM,3.0,5.0,14.14,,,
8,06/06/23 11:00:35 AM,3.0,7.6,14.10,,,
9,06/06/23 11:00:40 AM,4.4,7.6,14.09,,,
10,06/06/23 11:00:45 AM,4.4,7.6,14.06,,,
11,06/06/23 11:00:50 AM,3.0,5.0,14.06,,,
12,06/06/23 11:00:55 AM,3.0,3.5,14.05,,,
13,06/06/23 11:01:00 AM,3.0,7.6,14.04,,,
14,06/06/23 11:01:05 AM,3.0,7.6,14.04,,,
15,06/06/23 11:01:10 AM,2.3,7.6,14.04,,,
16,06/06/23 11:01:15 AM,2.9,7.6,14.05,,,
17,06/06/23 11:01:20 AM,3.0,5.0,14.04,,,
18,06/06/23 11:01:25 AM,3.0,3.9,14.04,,,
19,06/06/23 11:01:30 AM,3.0,7.6,14.02,,,
20,06/06/23 11:01:35 AM,3.0,7.6,14.02,,,
21,06/06/23 11:01:40 AM,3.0,5.0,14.04,,,
22,06/06/23 11:01:45 AM,3.0,3.9,14.04,,,
23,06/06/23 11:01:50 AM,3.0,7.6,14.05,,,
24,06/06/23 11:01:55 AM,2.9,3.9,14.05,,,
25,06/06/23 11:02:00 AM,3.0,7.6,14.05,,,
26,06/06/23 11:02:05 AM,3.0,7.6,14.06,,,
27,06/06/23 11:02:10 AM,3.0,7.6,14.05,,,
28,06/06/23 11:02:15 AM,4.7,7.6,14.06,,,
29,06/06/23 11:02:20 AM,2.9,7.6,14.06,,,
30,06/06/23 11:02:25 AM,2.4,7.6,14.08,,,
31,06/06/23 11:02:30 AM,4.7,7.6,14.09,,,
32,06/06/23 11:02:35 AM,3.0,7.6,14.09,,,
33,06/06/23 11:02:40 AM,3.0,5.0,14.09,,,
34,06/06/23 11:02:45 AM,3.0,7.6,14.09,,,
35,06/06/23 11:02:50 AM,3.0,7.6,14.09,,,
36,06/06/23 11:02:55 AM,3.0,7.6,14.10,,,
37,06/06/23 11:03:00 AM,4.7,7.6,14.10,,,
38,06/06/23 11:03:05 AM,3.0,7.6,14.10,,,
39,06/06/23 11:03:10 AM,2.9,5.0,14.10,,,
40,06/06/23 11:03:15 AM,3.0,7.6,14.11,,,
41,06/06/23 11:03:20 AM,2.3,3.9,14.11,,,
42,06/06/23 11:03:25 AM,3.0,7.6,14.13,,,
43,06/06/23 11:03:30 AM,3.0,3.9,14.11,,,
44,06/06/23 11:03:35 AM,4.7,7.6,14.11,,,
45,06/06/23 11:03:40 AM,3.0,7.6,14.10,,,
46,06/06/23 11:03:45 AM,3.0,7.6,14.09,,,
47,06/06/23 11:03:50 AM,3.0,7.6,14.08,,,
48,06/06/23 11:03:55 AM,3.0,7.6,14.06,,,
49,06/06/23 11:04:00 AM,2.9,7.6,14.06,,,
50,06/06/23 11:04:05 AM,3.0,7.6,14.05,,,
51,06/06/23 11:04:10 AM,3.0,7.6,14.05,,,
52,06/06/23 11:04:15 AM,3.0,7.6,14.06,,,
53,06/06/23 11:04:20 AM,3.0,7.6,14.08,,,
54,06/06/23 11:04:25 AM,3.0,5.0,14.06,,,
55,06/06/23 11:04:30 AM,3.0,3.9,14.08,,,
56,06/06/23 11:04:35 AM,3.0,7.6,14.09,,,
57,06/06/23 11:04:40 AM,3.0,7.6,14.10,,,
58,06/06/23 11:04:45 AM,3.0,7.6,14.10,,,
59,06/06/23 11:04:50 AM,2.9,7.6,14.10,,,
60,06/06/23 11:04:55 AM,3.0,7.6,14.10,,,
61,06/06/23 11:05:00 AM,3.0,7.6,14.08,,,
62,06/06/23 11:05:05 AM,4.4,7.6,14.08,,,
