"Plot Title: mgas_wd_station_4_2023-06-06"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 10559458, SEN S/N: 10559458)","Full Range, μS/cm (LGR S/N: 10559458, SEN S/N: 10559458, LBL: SC)","Temp, °C (LGR S/N: 10559458, SEN S/N: 10559458)","Coupler Detached (LGR S/N: 10559458)","Coupler Attached (LGR S/N: 10559458)","Host Connected (LGR S/N: 10559458)","Stopped (LGR S/N: 10559458)","End Of File (LGR S/N: 10559458)"
1,06/06/23 11:01:35 AM,4.3,2.9,25.92,,,,,
2,06/06/23 11:01:40 AM,4.1,6.5,25.92,,,,,
3,06/06/23 11:01:43 AM,,,,Logged,,,,
4,06/06/23 11:01:45 AM,2.7,2.9,26.04,,,,,
5,06/06/23 11:01:50 AM,4.3,2.9,26.54,,,,,
6,06/06/23 11:01:55 AM,2.7,1.8,26.43,,,,,
7,06/06/23 11:02:00 AM,2.7,27.5,26.42,,,,,
8,06/06/23 11:02:05 AM,2.8,2.9,26.43,,,,,
9,06/06/23 11:02:10 AM,4.3,2.9,26.45,,,,,
10,06/06/23 11:02:15 AM,2.7,2.9,26.47,,,,,
11,06/06/23 11:02:20 AM,2.8,6.5,26.52,,,,,
12,06/06/23 11:02:25 AM,2.8,2.9,26.56,,,,,
13,06/06/23 11:02:30 AM,4.1,27.5,26.61,,,,,
14,06/06/23 11:02:35 AM,2.7,6.5,26.65,,,,,
15,06/06/23 11:02:40 AM,4.3,2.9,26.69,,,,,
16,06/06/23 11:02:45 AM,2.7,2.9,26.72,,,,,
17,06/06/23 11:02:50 AM,2.7,8.7,26.75,,,,,
18,06/06/23 11:02:55 AM,4.1,2.9,26.77,,,,,
19,06/06/23 11:03:00 AM,2.7,2.9,26.81,,,,,
20,06/06/23 11:03:05 AM,2.8,2.9,26.85,,,,,
21,06/06/23 11:03:10 AM,2.8,2.9,26.89,,,,,
22,06/06/23 11:03:15 AM,2.7,2.9,26.92,,,,,
23,06/06/23 11:03:20 AM,4.1,2.9,26.93,,,,,
24,06/06/23 11:03:25 AM,2.8,8.7,26.94,,,,,
