"Date_Time","station","Low_Range","Full_Range","High_Range","Temp_C","Low_Range_Flag","Full_Range_Flag","High_Range_Flag","Temp_C_Flag","id","xfill"
2023-06-06 11:24:22,1,123.4,122.7,NA,20.03,"good","good","good","good","296",1686068662
2023-06-06 11:24:27,1,123.4,122.7,NA,20.04,"good","good","good","good","297",1686068667
2023-06-06 11:24:32,1,123.5,122.3,NA,20.03,"good","good","good","good","298",1686068672
2023-06-06 11:24:37,1,123.7,122.7,NA,20.03,"good","good","good","good","299",1686068677
2023-06-06 11:24:42,1,124,123.1,NA,20.03,"good","good","good","good","300",1686068682
2023-06-06 11:24:47,1,124.4,123.5,NA,20.04,"good","good","good","good","301",1686068687
2023-06-06 11:24:52,1,126.6,125.5,NA,20.03,"good","good","good","good","302",1686068692
2023-06-06 11:24:57,1,129.6,129,NA,20.04,"good","good","good","good","303",1686068697
2023-06-06 11:25:02,1,135.6,135.8,NA,20.03,"good","good","good","good","304",1686068702
2023-06-06 11:25:07,1,137.3,136.9,NA,20.03,"good","good","good","good","305",1686068707
2023-06-06 11:25:12,1,143.5,143.7,NA,20.03,"good","good","good","good","306",1686068712
2023-06-06 11:25:17,1,147,147.2,NA,20.03,"good","good","good","good","307",1686068717
2023-06-06 11:25:22,1,153.8,154.4,NA,20.03,"good","good","good","good","308",1686068722
2023-06-06 11:25:27,1,161.5,162.3,NA,20.02,"good","good","good","good","309",1686068727
2023-06-06 11:25:32,1,170.6,171.9,NA,20.03,"good","good","good","good","310",1686068732
2023-06-06 11:25:37,1,173.8,175.8,NA,20.03,"good","good","good","good","311",1686068737
2023-06-06 11:25:42,1,177.4,179,NA,20.03,"good","good","good","good","312",1686068742
2023-06-06 11:25:47,1,178.1,179.8,NA,20.03,"good","good","good","good","313",1686068747
2023-06-06 11:25:52,1,180.9,182.6,NA,20.04,"good","good","good","good","314",1686068752
2023-06-06 11:25:57,1,178.6,179.8,NA,20.03,"good","good","good","good","315",1686068757
2023-06-06 11:26:02,1,174.2,174.6,NA,20.04,"good","good","good","good","316",1686068762
2023-06-06 11:26:07,1,178.2,179.4,NA,20.03,"good","good","good","good","317",1686068767
2023-06-06 11:26:12,1,177.2,178.6,NA,20.04,"good","good","good","good","318",1686068772
2023-06-06 11:26:17,1,169.1,170.3,NA,20.03,"good","good","good","good","319",1686068777
2023-06-06 11:26:22,1,168.6,169.5,NA,20.04,"good","good","good","good","320",1686068782
2023-06-06 11:26:27,1,164.7,165.9,NA,20.04,"good","good","good","good","321",1686068787
2023-06-06 11:26:32,1,159.6,160.3,NA,20.06,"good","good","good","good","322",1686068792
2023-06-06 11:26:37,1,158.5,159.1,NA,20.06,"good","good","good","good","323",1686068797
2023-06-06 11:26:42,1,157.5,158,NA,20.04,"good","good","good","good","324",1686068802
2023-06-06 11:26:47,1,158.2,159.1,NA,20.04,"good","good","good","good","325",1686068807
2023-06-06 11:26:52,1,158.1,158.8,NA,20.04,"good","good","good","good","326",1686068812
