Date_Time,Station,Low_Range_μS_cm,Full_Range_μS_cm,High_Range_μS_cm,Temp_C
05/25/23 12:00:00 PM,1,1,1,1,1
05/25/23 12:00:05 PM,1,2,32,2,2
05/25/23 12:00:10 PM,1,3,3,3,3
05/25/23 12:00:00 PM,2,10,3,5,21
05/25/23 12:00:05 PM,2,9,32,6,32
05/25/23 12:00:10 PM,2,8,2,8,5
05/25/23 12:00:00 PM,3,15,232,89,4
05/25/23 12:00:05 PM,3,20,1,9,2
05/25/23 12:00:10 PM,3,15,3,3,6
05/25/23 12:00:00 PM,4,0,3,45,7
05/25/23 12:00:05 PM,4,0,332,23,9
05/25/23 12:00:10 PM,4,1,1,32,3
05/25/23 12:00:00 PM,5,2,11,45,89
05/25/23 12:00:05 PM,5,5,22,2,2
05/25/23 12:00:10 PM,5,8,1,6,1
